SITE,PLOT,y71,y03,diff
1,1,0.500691329,0.539961237,0.039269908
1,2,0.502654825,4.80663676,4.303981935
1,3,0.467311907,1.537416905,1.070104998
1,4,0.512472302,1.083849465,0.571377164
1,5,0.834485549,1.462804079,0.628318531
1,6,1.005309649,1.502073987,0.496764338
1,7,0.714712329,1.315541924,0.600829595
1,8,1.1545353,1.743583923,0.589048623
1,9,0.520326283,0.960149255,0.439822972
1,10,1.10348442,1.470658061,0.367173641
1,11,0.901244392,0.675442421,-0.225801972
1,12,0.600829595,1.072068493,0.471238898
1,13,0.50461832,1.003346154,0.498727834
1,14,0.484983366,1.574723318,1.089739952
1,15,0.41037054,1.623810703,1.213440162
1,16,0.677405916,0.645989989,-0.031415927
2,1,1.360702318,1.280199006,-0.080503312
2,2,2.155917959,1.521708942,-0.634209017
2,3,1.521708942,0.567450173,-0.954258769
2,4,0.549778714,1.384264263,0.834485549
2,5,1.682715565,0.490873852,-1.191841713
2,6,0.805033117,1.694496538,0.88946342
2,7,0.261144889,3.581415625,3.320270736
2,8,0.675442421,0.638136008,-0.037306413
2,9,0.078539816,2.326742059,2.248202243
2,10,0.045160394,0.255254403,0.210094009
2,11,1.301797456,0.746128255,-0.555669201
2,12,1.712167996,2.238384766,0.526216769
2,13,3.603014075,,
2,14,2.311034096,2.051852702,-0.259181394
2,15,3.638356992,0.206167018,-3.432189974
2,16,0.190459055,1.663080611,1.472621556
3,1,0.106028752,0.885536429,0.779507677
3,2,,0.720602815,
3,3,0.017671459,1.307687942,1.290016483
3,4,0.170824101,1.093666943,0.922842842
3,5,0.594939109,1.178097245,0.583158136
3,6,0.168860605,0.750055246,0.581194641
3,7,0.041233404,0.056941367,0.015707963
3,8,0.895353906,0.404480054,-0.490873852
3,9,0.524253274,1.3685563,0.844303026
3,10,0.001963495,0.331830724,0.329867229
3,11,,2.915790682,
3,12,0.581194641,2.446515279,1.865320638
3,13,0.017671459,0.891426915,0.873755457
3,15,0.090320789,1.288052988,1.197732199
3,16,0.086393798,0.402516559,0.316122761
4,1,0.428041999,1.270381529,0.84233953
4,2,0.257217899,0.918915851,0.661697953
4,3,0.161006623,0.634209017,0.473202393
4,4,0.345575192,,
4,5,0.651880476,0.343611696,-0.308268779
4,6,0.510508806,2.059706684,1.549197877
4,7,0.47909288,0.320049752,-0.159043128
4,8,2.293362637,0.214021,-2.079341638
4,9,0.135481183,0.07264933,-0.062831853
4,10,1.364629309,0.186532064,-1.178097245
4,11,2.629120352,,
4,12,0.765763209,2.76263804,1.99687483
4,13,0.557632696,1.627737694,1.070104998
4,14,0.498727834,0.585121632,0.086393798
4,15,1.111338401,1.268418034,0.157079633
4,16,1.965458904,1.592394776,-0.373064128
5,1,0.284706834,,
5,2,0.168860605,,
5,3,2.287472151,1.013163631,-1.27430852
5,4,0.033379422,0.773617191,0.740237769
5,5,0.808960108,1.676825079,0.867864971
5,6,0.604756586,,
5,7,0.204203522,0.720602815,0.516399292
5,8,2.644828315,2.758711049,0.113882734
5,9,0.481056375,0.088357293,-0.392699082
5,10,0.16689711,,
5,11,4.290237468,,
5,12,0.581194641,0.375027623,-0.206167018
5,13,0.19242255,1.808379271,1.615956721
5,14,1.030835089,,
5,15,0.41037054,1.376410281,0.966039741
5,16,0.188495559,0.958185759,0.7696902
6,1,1.172206759,2.797980957,1.625774198
6,2,3.281000828,0.850193512,-2.430807316
6,3,2.799944453,1.309651437,-1.490293015
6,4,1.820160244,1.863357143,0.043196899
6,5,3.443970946,1.03476208,-2.409208866
6,6,2.607521902,4.535674394,1.928152491
6,7,2.532909077,2.354230995,-0.178678082
6,8,1.60810274,4.221515128,2.613412389
6,9,2.165735436,2.034181243,-0.131554192
6,10,2.731222113,0.45749443,-2.273727683
6,11,0.805033117,0.019634954,-0.785398163
6,12,1.166316273,0.327903733,-0.838412539
6,13,1.282162502,0.392699082,-0.88946342
6,14,0.086393798,0.408407045,0.322013247
6,15,0.223838477,0.435895981,0.212057504
6,16,1.044579557,1.504037483,0.459457926
7,1,0.455530935,1.235038612,0.779507677
7,2,0.339684706,1.829977721,1.490293015
7,3,0.206167018,1.413716694,1.207549676
7,4,0.204203522,0.871791961,0.667588439
7,5,0.720602815,1.113301897,0.392699082
7,6,0.545851724,0.651880476,0.106028752
7,7,0.455530935,1.217367153,0.761836218
7,8,1.456913593,1.068141502,-0.388772091
7,9,0.316122761,,
7,10,0.567450173,0.441786467,-0.125663706
7,11,0.210094009,,
7,12,0.583158136,0.814850595,0.231692458
7,13,0.255254403,,
7,14,5.572399969,0.901244392,-4.671155577
7,15,0.420188017,0.808960108,0.388772091
7,16,0.270962366,0.712748833,0.441786467
8,1,0.810923604,0.592975613,-0.21794799
8,2,0.753982237,3.224059461,2.470077224
8,3,3.222095965,1.164352777,-2.057743188
8,4,0.653843971,1.472621556,0.818777585
8,5,2.805834939,1.606139244,-1.199695695
8,6,1.631664684,1.050470044,-0.581194641
8,7,2.799944453,0.669551934,-2.130392518
8,8,0.832522053,0.700967861,-0.131554192
8,9,0.428041999,3.987859175,3.559817176
8,10,2.318888077,4.213661147,1.894773069
8,11,,2.399391389,
8,12,0.742201264,8.39001588,7.647814616
8,13,0.541924733,1.278235511,0.736310778
8,14,0.975857218,3.899501881,2.923644663
8,15,2.664463269,1.955641427,-0.708821842
8,16,1.411753199,14.59466137,13.18290817
9,1,2.815652416,4.804673265,1.989020849
9,2,3.392920066,1.317505419,-2.075414647
9,3,0.928733328,1.12900986,0.200276532
9,4,2.144136986,5.925829143,3.781692157
9,5,3.634430001,2.972732048,-0.661697953
9,6,1.343030859,2.727295122,1.384264263
9,7,3.720823799,3.328124717,-0.392699082
9,8,0.278816348,0.989601686,0.710785338
9,9,2.214822821,0.869828466,-1.344994355
9,10,1.052433539,0.137444679,-0.91498886
9,11,0.651880476,0.779507677,0.127627202
9,12,1.005309649,1.142754328,0.137444679
9,13,1.686642556,0.331830724,-1.354811832
9,14,2.034181243,0.710785338,-1.323395905
9,15,3.481277359,0.971930227,-2.509347132
9,16,1.431388153,0.314159265,-1.117228887
10,1,3.26725636,0.021598449,-3.24565791
10,2,0.569413668,2.607521902,2.038108234
10,3,0.62439154,0.610647072,-0.013744468
10,4,2.615375884,1.290016483,-1.325359401
10,5,,1.651299639,
10,6,2.273727683,1.315541924,-0.958185759
10,7,0.728456797,1.1545353,0.426078504
10,8,1.370519795,0.155116137,-1.215403658
10,9,1.955641427,3.495021827,1.5393804
10,10,0.043196899,0.536034247,0.492837348
10,11,0.343611696,0.104065257,-0.23954644
10,12,0.19242255,0.88946342,0.69704087
10,13,0.380918109,1.297870465,0.916952356
10,14,1.981166867,0.693113879,-1.288052988
10,15,1.500110492,0.954258769,-0.545851724
10,16,0.763799714,0.783434668,0.019634954
11,1,4.698644513,2.085232124,-2.613412389
11,2,2.974695544,2.089159115,-0.885536429
11,3,2.295326133,5.248423227,2.953097094
11,4,1.244856089,1.739656932,0.494800843
11,5,1.097593933,0.844303026,-0.253290908
11,6,2.964878067,2.778346003,-0.186532064
11,7,4.080143459,2.666426765,-1.413716694
11,8,2.59574093,1.822123739,-0.773617191
11,9,1.822123739,2.884374755,1.062251016
11,10,2.468113728,1.026908099,-1.44120563
11,11,1.172206759,1.193805208,0.021598449
11,12,1.072068493,3.015928947,1.943860454
11,13,1.319468915,2.417062848,1.097593933
11,14,1.099557429,1.765182372,0.665624943
11,15,1.965458904,2.456332756,0.490873852
11,16,1.767145868,1.619883712,-0.147262156
12,1,0.353429174,2.988440012,2.635010838
12,2,0.345575192,0.031415927,-0.314159265
12,3,1.411753199,0.023561945,-1.388191254
12,4,0.09817477,0.571377164,0.473202393
12,5,0.041233404,0.502654825,0.461421421
12,6,0.373064128,2.876520773,2.503456646
12,7,1.598285263,0.771653696,-0.826631567
12,8,2.49756616,1.10741141,-1.390154749
12,9,0.068722339,1.29590697,1.22718463
12,10,1.423534171,0.463384916,-0.960149255
12,11,1.221294144,0.137444679,-1.083849465
12,12,0.488910357,2.829396884,2.340486527
12,13,1.219330649,2.144136986,0.924806337
12,14,1.456913593,1.352848336,-0.104065257
12,15,0.767726705,0.956222264,0.188495559
12,16,0.543888228,0.779507677,0.235619449
13,1,1.720021978,,
13,2,1.70627751,,
13,3,2.613412389,,
13,4,2.179479903,3.153373626,0.973893723
13,5,0.891426915,1.643445657,0.752018741
13,6,1.174170254,0.168860605,-1.005309649
13,7,1.519745446,,
13,8,1.955641427,0.706858347,-1.24878308
13,9,2.128429023,1.708241005,-0.420188017
13,10,1.641482162,0.522289779,-1.119192383
13,11,1.500110492,1.41568019,-0.084430303
13,12,1.29983396,2.652682297,1.352848336
13,13,1.423534171,2.104867078,0.681332907
13,14,1.696460033,2.71551415,1.019054117
13,15,2.000801821,4.647593632,2.646791811
13,16,1.94582395,4.141011817,2.195187867
14,1,3.216205479,0.677405916,-2.538799563
14,2,4.141011817,0.345575192,-3.795436625
14,3,0.771653696,5.827654372,5.056000677
14,4,0.021598449,0.738274274,0.716675824
14,5,0.021598449,0.771653696,0.750055246
14,6,0.021598449,0.422151513,0.400553063
14,7,1.036725576,0.969966732,-0.066758844
14,8,4.763439861,3.69922535,-1.064214511
14,9,3.26725636,3.779728661,0.512472302
14,10,3.475386873,1.344994355,-2.130392518
14,11,1.875138115,0.636172512,-1.238965603
14,12,7.131415324,2.244275252,-4.887140072
14,13,0.349502183,0.838412539,0.488910357
14,14,0.278816348,0.041233404,-0.237582944
14,15,2.799944453,2.206968839,-0.592975613
14,16,1.665044106,3.324197727,1.65915362
15,1,3.165154598,,
15,2,2.799944453,0.237582944,-2.562361508
15,3,4.091924431,1.906554042,-2.18537039
15,4,0.950331778,3.231913442,2.281581665
15,5,3.636393497,3.581415625,-0.054977871
15,6,0.891426915,1.829977721,0.938550805
15,7,1.580613804,1.482439033,-0.09817477
15,8,0.567450173,1.405862712,0.838412539
15,9,1.105447915,2.008655803,0.903207888
15,10,1.533489914,6.827073535,5.293583621
15,11,1.511891465,1.547234382,0.035342917
15,12,1.388191254,3.483240855,2.095049601
15,13,1.890846078,2.464186738,0.573340659
15,14,1.670934593,3.671736414,2.000801821
15,15,2.095049601,3.968224221,1.87317462
15,16,5.843362336,2.18929738,-3.654064955
16,1,1.606139244,2.193224371,0.587085127
16,2,2.04399872,2.057743188,0.013744468
16,3,0.675442421,2.487748683,1.812306262
16,4,1.576686813,2.242311756,0.665624943
16,5,0.975857218,1.496183501,0.520326283
16,6,1.064214511,1.278235511,0.214021
16,7,2.108794069,2.234457775,0.125663706
16,8,1.912444528,0.689186888,-1.223257639
16,9,1.254673566,4.013384615,2.758711049
16,10,1.751437904,1.939933464,0.188495559
16,11,2.342450022,2.375829444,0.033379422
16,12,2.358157986,3.182826057,0.824668072
16,13,1.688606051,0.064795348,-1.623810703
16,14,1.370519795,2.481858196,1.111338401
16,15,1.276272016,0.675442421,-0.600829595
16,16,3.19853402,0.806996613,-2.391537408
17,1,1.197732199,2.660536279,1.462804079
17,2,1.12900986,1.621847207,0.492837348
17,3,0.647953485,3.218168975,2.57021549
17,4,1.036725576,2.599667921,1.562942345
17,5,0.950331778,1.411753199,0.461421421
17,6,1.849612675,1.068141502,-0.781471173
17,7,1.260564052,0.620464549,-0.640099503
17,8,1.015127126,2.929535149,1.914408023
17,9,0.803069622,0.567450173,-0.235619449
17,10,1.41568019,1.759291886,0.343611696
17,11,1.739656932,1.480475538,-0.259181394
17,12,3.840597019,1.500110492,-2.340486527
17,13,1.22718463,1.327322896,0.100138266
17,14,1.580613804,0.437859476,-1.142754328
17,15,0.553705705,,
17,16,2.026327262,0.789325154,-1.237002107
18,1,0.229728963,2.619302875,2.389573912
18,2,2.958987581,1.244856089,-1.714131492
18,3,1.272345025,3.257438883,1.985093858
18,4,0.581194641,0.102101761,-0.47909288
18,5,0.280779843,0.453567439,0.172787596
18,6,0.775580686,7.288494956,6.51291427
18,7,1.694496538,1.474585052,-0.219911486
18,8,1.68467906,,
18,9,1.327322896,2.727295122,1.399972226
18,10,0.484983366,0.675442421,0.190459055
18,11,0.62439154,0.977820713,0.353429174
18,12,1.398008731,0.567450173,-0.830558558
18,13,2.513274123,0.396626073,-2.11664805
18,14,0.188495559,1.623810703,1.435315144
18,15,3.722787295,6.181083546,2.458296251
18,16,0.7696902,6.257659867,5.487969667
19,1,0.270962366,2.177516408,1.906554042
19,2,0.206167018,0.430005494,0.223838477
19,3,0.206167018,0.836449044,0.630282026
19,4,0.371100632,1.105447915,0.734347283
19,5,0.029452431,0.850193512,0.820741081
19,6,0.229728963,0.437859476,0.208130513
19,7,0.129590697,0.818777585,0.689186888
19,8,0.814850595,1.63362818,0.818777585
19,9,1.588467785,1.678788574,0.090320789
19,10,1.529562923,1.433351648,-0.096211275
19,11,1.835868207,2.100940087,0.26507188
19,12,0.883572934,2.381719931,1.498146997
19,13,0.33772121,0.35931966,0.021598449
19,14,0.361283155,1.973312886,1.61202973
19,15,0.702931356,0.797179136,0.09424778
19,16,0.412334036,0.524253274,0.111919238
20,1,0.461421421,,
20,2,0.402516559,1.718058482,1.315541924
20,3,0.07264933,0.164933614,0.092284284
20,4,1.551161373,0.610647072,-0.940514301
20,5,0.235619449,1.564905841,1.329286392
20,6,0.107992247,1.755364895,1.647372648
20,7,0.045160394,1.138827337,1.093666943
20,8,0.549778714,1.309651437,0.759872723
20,9,1.246819584,2.635010838,1.388191254
20,10,6.067200812,0.875718952,-5.19148186
20,11,1.865320638,0.076576321,-1.788744317
20,12,0.237582944,0.846266521,0.608683577
20,13,0.437859476,0.873755457,0.435895981
20,14,3.654064955,0.176714587,-3.477350368
20,15,7.045021526,0.058904862,-6.986116663
20,16,1.692533042,0.985674695,-0.706858347
21,1,0.589048623,0.767726705,0.178678082
21,2,0.708821842,1.496183501,0.787361659
21,3,1.672898088,2.847068342,1.174170254
21,4,0.001963495,2.352267499,2.350304004
21,5,1.568832831,0.771653696,-0.797179136
21,6,0.814850595,3.196570525,2.381719931
21,7,1.309651437,,
21,8,0.687223393,2.336559536,1.649336143
21,9,1.696460033,0.543888228,-1.152571805
21,10,1.286089493,0.979784209,-0.306305284
21,11,1.792671308,1.384264263,-0.408407045
21,12,1.739656932,1.904590546,0.164933614
21,13,0.473202393,2.57021549,2.097013096
21,14,,2.536836068,
21,15,1.773036354,2.452405765,0.679369411
21,16,2.572178985,1.315541924,-1.256637061
22,1,1.054397034,,
22,2,2.049889206,0.19242255,-1.857466656
22,3,0.587085127,0.206167018,-0.380918109
22,4,0.673478925,0.55174221,-0.121736715
22,5,0.767726705,0.043196899,-0.724529806
22,6,0.638136008,1.215403658,0.57726765
22,7,0.594939109,0.569413668,-0.02552544
22,8,0.41037054,1.613993226,1.203622685
22,9,0.808960108,1.372483291,0.563523182
22,10,1.03476208,2.097013096,1.062251016
22,11,1.437278639,1.816233253,0.378954614
22,12,1.017090622,0.029452431,-0.98763819
22,13,1.922262005,1.545270886,-0.376991118
22,14,1.083849465,,
22,15,1.464767575,4.111559385,2.646791811
22,16,5.84139884,2.134319509,-3.707079331
23,1,1.272345025,2.656609288,1.384264263
23,2,2.201078353,1.600248758,-0.600829595
23,3,2.701769682,1.606139244,-1.095630438
23,4,1.541343896,1.333213382,-0.208130513
23,5,0.993528677,4.048727532,3.055198856
23,6,2.366011967,0.677405916,-1.688606051
23,7,0.854120503,0.241509935,-0.612610567
23,8,1.949750941,1.588467785,-0.361283155
23,9,0.706858347,2.151990968,1.445132621
23,10,2.774419012,1.350884841,-1.423534171
23,11,2.801907948,3.43808046,0.636172512
23,12,0.808960108,2.95506059,2.146100481
23,13,2.460259747,1.792671308,-0.667588439
23,14,0.985674695,1.839795198,0.854120503
23,15,0.433932485,1.981166867,1.547234382
23,16,0.838412539,1.99687483,1.158462291
24,1,2.106830573,,
24,2,0.960149255,,
24,3,1.588467785,,
24,4,0.964076246,,
24,5,0.441786467,,
24,6,0.728456797,0.812887099,0.084430303
24,7,1.435315144,,
24,8,1.70627751,0.997455668,-0.708821842
24,9,0.71863932,1.085812961,0.367173641
24,10,1.158462291,0.243473431,-0.91498886
24,11,0.730420292,,
24,12,0.655807466,,
24,13,0.581194641,1.356775327,0.775580686
24,14,0.426078504,0.79521564,0.369137137
24,15,0.378954614,0.860010989,0.481056375
24,16,0.215984495,0.726493301,0.510508806
25,1,0.907134879,1.720021978,0.812887099
25,2,0.861974484,2.01847328,1.156498796
25,3,0.353429174,1.937969968,1.584540795
25,4,0.003926991,3.004147975,3.000220984
25,5,,1.602212253,
25,6,0.838412539,0.594939109,-0.243473431
25,7,0.058904862,2.57021549,2.511310627
25,8,0.592975613,2.175552913,1.582577299
25,9,0.567450173,0.748091751,0.180641578
25,10,0.730420292,0.663661448,-0.066758844
25,11,0.901244392,1.564905841,0.663661448
25,12,1.73180295,1.747510914,0.015707963
25,13,1.327322896,2.159844949,0.832522053
25,14,1.040652567,0.251327412,-0.789325154
25,15,0.347538687,0.630282026,0.282743339
25,16,0.610647072,1.077958979,0.467311907
26,1,1.519745446,1.70627751,0.186532064
26,2,5.110978548,5.484042676,0.373064128
26,3,0.186532064,,
26,4,3.522510763,6.230170931,2.707660168
26,5,0.561559687,4.549418861,3.987859175
26,6,3.866122459,0.954258769,-2.911863691
26,7,3.02770992,3.980005193,0.952295273
26,8,1.433351648,1.525635932,0.092284284
26,9,2.21089583,,
26,10,1.028871594,3.277073837,2.248202243
26,11,1.761255381,0.981747704,-0.779507677
26,12,3.000220984,3.976078202,0.975857218
26,13,3.135702167,2.415099352,-0.720602815
26,14,0.814850595,2.552544031,1.737693437
26,15,1.604175749,2.047925711,0.443749962
26,16,3.84452401,1.136863842,-2.707660168
27,1,0.771653696,2.864739801,2.093086105
27,2,0.79521564,1.639518666,0.844303026
27,3,,0.502654825,
27,4,0.591012118,2.146100481,1.555088364
27,5,1.344994355,0.913025365,-0.43196899
27,7,1.462804079,2.169662426,0.706858347
27,8,1.80052529,1.604175749,-0.196349541
27,9,,3.976078202,
27,10,0.893390411,1.288052988,0.394662577
27,11,0.469275403,0.630282026,0.161006623
27,12,,2.411172362,
27,13,0.895353906,0.561559687,-0.333794219
27,14,1.963495408,2.764601535,0.801106127
27,15,,2.474004215,
27,16,1.083849465,1.517781951,0.433932485
28,1,0.475165889,0.569413668,0.09424778
28,2,1.92029851,3.229949947,1.309651437
28,3,1.386227758,0.090320789,-1.29590697
28,4,1.398008731,1.73180295,0.333794219
28,5,1.396045235,0.473202393,-0.922842842
28,6,2.026327262,0.066758844,-1.959568418
28,7,2.670353756,0.620464549,-2.049889206
28,8,0.736310778,1.712167996,0.975857218
28,9,1.720021978,2.442588288,0.72256631
28,10,1.284125997,1.044579557,-0.23954644
28,11,0.467311907,1.627737694,1.160425786
28,12,0.070685835,1.619883712,1.549197877
28,13,0.084430303,0.375027623,0.29059732
28,14,0.137444679,1.325359401,1.187914722
28,15,0.115846229,0.779507677,0.663661448
28,16,0.09424778,1.127046364,1.032798585
29,2,0.814850595,0.227765467,-0.587085127
29,3,0.184568568,2.199114858,2.014546289
29,4,0.895353906,1.786780822,0.891426915
29,5,4.787001806,1.482439033,-3.304562772
29,6,1.979203372,3.322234231,1.343030859
29,7,0.799142631,1.865320638,1.066178007
29,8,0.021598449,1.998838326,1.977239876
29,9,2.703733177,,
29,10,3.118030709,0.090320789,-3.02770992
29,11,0.001963495,3.559817176,3.55785368
29,12,1.205586181,0.420188017,-0.785398163
29,13,2.76263804,2.004728812,-0.757909228
29,14,2.71551415,0.070685835,-2.644828315
29,15,2.699806187,0.524253274,-2.175552913
29,16,2.059706684,0.141371669,-1.918335014
30,1,0.775580686,0.484983366,-0.29059732
30,2,1.113301897,2.544690049,1.431388153
30,3,2.024363766,1.433351648,-0.591012118
30,4,2.540763059,0.310232275,-2.230530784
30,5,1.460840584,0.7696902,-0.691150384
30,6,1.443169125,0.793252145,-0.64991698
30,7,0.449640449,1.038689071,0.589048623
30,8,0.732383787,0.805033117,0.07264933
30,9,0.178678082,0.255254403,0.076576321
30,10,0.748091751,1.625774198,0.877682448
30,11,0.830558558,0.946404787,0.115846229
30,12,2.063633674,0.058904862,-2.004728812
30,13,2.218749812,1.189878218,-1.028871594
30,14,0.486946861,,
30,15,0.901244392,0.137444679,-0.763799714
30,16,0.001963495,2.175552913,2.173589417
31,1,1.651299639,2.385646921,0.734347283
31,2,1.005309649,0.877682448,-0.127627202
31,3,1.12900986,0.657770962,-0.471238898
31,4,0.657770962,1.918335014,1.260564052
31,5,0.373064128,0.294524311,-0.078539816
31,6,0.408407045,0.288633825,-0.11977322
31,7,0.455530935,0.021598449,-0.433932485
31,8,0.952295273,0.750055246,-0.202240027
31,9,2.964878067,1.735729941,-1.229148126
31,10,0.206167018,1.798561794,1.592394776
31,11,0.471238898,0.35931966,-0.111919238
31,12,0.416261027,0.687223393,0.270962366
31,13,1.27430852,6.48738883,5.21308031
31,14,1.293943474,0.74416476,-0.549778714
31,15,0.594939109,0.125663706,-0.469275403
31,16,1.877101611,0.736310778,-1.140790832
32,1,1.613993226,1.835868207,0.221874981
32,2,0.954258769,0.461421421,-0.492837348
32,3,1.407826208,1.788744317,0.380918109
32,4,0.948368282,1.032798585,0.084430303
32,5,0.07264933,2.087195619,2.014546289
32,6,0.944441291,1.111338401,0.16689711
32,7,2.087195619,0.545851724,-1.541343896
32,8,1.215403658,1.03476208,-0.180641578
32,9,1.737693437,1.708241005,-0.029452431
32,10,1.566869336,0.003926991,-1.562942345
32,11,1.050470044,0.164933614,-0.885536429
32,12,1.193805208,1.504037483,0.310232275
32,13,1.853539666,1.914408023,0.060868358
32,14,1.665044106,1.205586181,-0.459457926
32,15,1.460840584,3.919136835,2.458296251
32,16,0.895353906,1.602212253,0.706858347
33,1,1.543307391,1.021017612,-0.522289779
33,2,3.284927818,4.594579256,1.309651437
33,3,,1.348921346,
33,4,3.921100331,5.228788273,1.307687942
33,5,1.388191254,0.249363917,-1.138827337
33,6,,0.934623814,
33,7,3.758130212,2.59574093,-1.162389282
33,8,5.837471849,1.24878308,-4.58868877
33,9,1.00923664,1.392118245,0.382881605
33,10,,3.587306111,
33,11,2.246238747,3.976078202,1.729839455
33,12,2.931498645,4.891067063,1.959568418
33,13,,1.916371519,
33,14,2.422953334,2.022400271,-0.400553063
33,15,4.038910055,4.031056074,-0.007853982
33,16,,4.050691028,
34,1,3.388993075,2.583959958,-0.805033117
34,2,3.010038461,3.110176727,0.100138266
34,3,1.007273145,1.543307391,0.536034247
34,4,1.545270886,1.398008731,-0.147262156
34,5,2.277654674,1.127046364,-1.150608309
34,6,1.525635932,1.94582395,0.420188017
34,7,0.07264933,1.429424657,1.356775327
34,8,0.278816348,0.767726705,0.488910357
34,9,0.322013247,2.220713307,1.89870006
34,10,1.941896959,0.282743339,-1.65915362
34,11,1.17613375,2.124502032,0.948368282
34,12,1.168279768,1.56097885,0.392699082
34,13,1.280199006,1.24878308,-0.031415927
34,14,1.435315144,1.549197877,0.113882734
34,15,1.60810274,2.205005344,0.596902604
34,16,1.80445228,2.744966581,0.940514301
35,1,0.023561945,0.005890486,-0.017671459
35,2,0.272925862,0.259181394,-0.013744468
