,BRC,species,preneation,life form,woodiness,Tjan,Tjul,Prec,Br Habitats,L,F,R,N,S,ms,flag
413,920698,Epilobium parviflorum,p,hc,h,3.8,14.9,996,11,7,9,7,5,0,,0
523,9204530,Epilobium sp.,p,hc,h,,,,,,,,,,,0
655,200001439,Epilobium tetragon/obscurum,p,hc,h,,,,,,,,,,,0
465,9207292,Epilobium tetragonum,p,hc,h,3.9,15.9,834,"3, 17",6,7,5,5,0,,0
314,920702,Epipactis atrorubens,p,Gn,h,3,13.8,1328,16,7,4,8,1,0,,0
76,920705,Epipactis helleborine,p,Gn,h,3.6,15.3,946,"1, 7",4,5,7,4,0,,0
213,910712,Equisetum arvense,p,Gn,h,3.5,14.5,1087,"3, 4",7,6,6,6,0,,0
432,910713,Equisetum fluviatile,p,Gn,h,3.5,14.4,1116,11,8,10,6,4,0,,0
647,910717,Equisetum palustre,p,Gn,h,3.4,14.5,1091,11,7,8,6,3,0,,0
642,9104635,Equisetum sp.,p,Gn,h,,,,,,,,,,,0
375,910720,Equisetum sylvaticum,p,Gn,h,2.9,13.7,1269,"1, 16",5,8,5,5,0,,0
292,910721,Equisetum telmateia,p,Gn,h,3.8,15.2,950,11,6,8,7,6,0,,0
737,920839,Frangula alnus,p,Ph,ws,3.8,15.8,881,1,6,8,5,5,0,am,0
417,920893,Genista tinctoria,p,Ch,ws,3.6,15.6,880,6,8,6,7,2,0,am,0
369,920740,Eriophorum angustifolium,p,hc,h,3.4,14.1,1194,12,8,9,4,1,0,,0
395,920744,Eriophorum vaginatum,p,hc,h,3.1,13.6,1307,12,8,8,2,1,0,,0
52,920952,Hedera helix,p,Ph,ws,3.6,14.6,1086,"1, 3",4,5,7,6,0,am,2
128,920763,Eupatorium cannabinum,p,hc,h,3.9,15.2,974,11,7,8,6,7,0,,0
348,20000158,Euphorbia agg.,,,h,,,,,,,,,,,0
176,920764,Euphorbia amygdaloides,p,Ch,h,4.1,16.1,827,1,4,5,6,6,0,,0
162,920777,Euphorbia peplus,a,Th,h,3.8,15.1,950,"4, 17",7,4,7,6,0,,0
548,9202243,Euphrasia officinalis agg.,a,Th,h,3.5,14.4,1131,"6, 7, 8, 10",8,5,5,3,0,,0
481,8201146,Eurhynchium sp.,p,moss,moss,,,,,,,,,,,0
61,920810,Fagus sylvatica,p,Ph,wt,3.5,14.7,1061,1,3,5,5,5,0,em,2
774,9201528,Fallopia japonica,p,Gn,h,3.7,14.8,1043,"3, 14, 17",6,7,6,6,0,,0
384,920812,Festuca altissima,p,hc,h,2.6,13.6,1410,"1, 16",3,5,4,5,0,,0
351,920813,Festuca arundinacea,p,hc,h,3.6,14.9,980,"6, 7",8,6,7,6,1,,0
0,920816,Festuca gigantea,p,hc,h,3.6,15.1,981,1,5,6,7,7,0,,0
130,920821,Festuca ovina agg.,p,hc,h,3.5,14.4,1118,"7, 8",7,5,4,2,0,,0
666,9204916,Festuca ovina/rubra (vegetative),p,hc,h,,,,,,,,,,,0
149,920824,Festuca rubra agg.,p,hc,h,3.5,14.5,1104,"3, 5, 6, 21",8,5,6,5,2,,0
700,200001182,Festuca sp.,p,hc,h,,,,,,,,,,,0
382,920826,Festuca vivipara,p,hc,h,2.7,12.7,1592,"15, 16",8,6,3,2,0,,0
163,920833,Filipendula ulmaria,p,hc,h,3.5,14.5,1105,11,7,8,6,5,0,,0
440,920834,Filipendula vulgaris,p,hc,h,3.6,15.8,776,7,7,4,8,2,0,,0
551,820262,Fissidens cristatus,p,moss,moss,,,,,,,,,,,0
509,8201147,Fissidens sp.,p,moss,moss,,,,,,,,,,,0
635,200001619,Fragaria sp.,p,hc,h,,,,,,,,,,,0
51,920838,Fragaria vesca,p,hc,h,3.5,14.6,1091,"1, 7",6,5,6,4,0,,0
317,920955,Helianthemum nummularium,p,Ch,sw,3,14.8,924,7,7,4,7,2,0,am,0
35,920841,Fraxinus excelsior (c),p,Ph,wt,3.6,14.7,1069,1,5,6,7,6,0,am,2
788,920854,Fumaria officinalis,a,Th,h,3.6,15,912,"3, 4",6,5,7,6,0,,0
760,9204931,Galeopsis sp.,a,Th,h,,,,,,,,,,,0
433,920867,Galeopsis speciosa,a,Th,h,3.1,14.5,1043,4,7,5,7,7,0,,0
41,920868,Galeopsis tetrahit agg.,a,Th,h,3.5,14.5,1073,"3, 4",7,5,6,6,0,,0
17,920873,Galium aparine,a,Th,h,3.6,14.6,1080,"3, 4, 17",6,6,7,8,0,,0
357,920879,Galium mollugo,p,hc,h,3.5,15.3,905,7,7,4,7,4,0,,0
38,920183,Galium odoratum,p,hc,h,3.4,14.7,1086,1,3,5,7,6,0,,0
47,920882,Galium palustre,p,hc,h,3.5,14.5,1105,11,7,9,5,4,0,,0
5,920878,Galium saxatile,p,hc,h,3.5,14.3,1148,"8, 9",6,6,3,3,0,,0
198,920883,Galium sp ,p,hc,h,,,,,,,,,,,0
701,9204533,Galium sp.,p,hc,h,,,,,,,,,,,0
546,920887,Galium uliginosum,p,hc,h,3.2,14.9,961,11,7,9,6,4,0,,0
350,920888,Galium verum,p,hc,h,3.5,14.6,1045,7,7,4,6,2,0,,0
659,9101217,Huperzia selago,p,Ch,sw,2.7,13.2,1472,"15, 16",7,6,2,2,0,am,0
409,920906,Geranium columbinum,a,Th,h,4,15.6,921,"3, 7",7,4,7,7,0,,0
280,920907,Geranium dissectum,a,Th,h,3.7,14.8,1011,"3, 4",7,5,7,6,0,,0
684,920911,Geranium molle,a,Th,h,3.7,14.8,1026,"3, 4",7,5,6,5,0,,0
178,920914,Geranium pratense,p,hc,h,3,14.9,922,6,7,6,7,7,0,,0
81,920918,Geranium robertianum,b,hc,h,3.5,14.6,1092,"1, 16",5,6,6,6,0,,2
552,920920,Geranium sanguineum,p,hc,h,3.7,14.6,996,"7, 16",7,4,7,3,0,,0
526,9204535,Geranium sp.,p,hc,h,,,,,,,,,,,0
332,920921,Geranium sylvaticum,p,hc,h,1.8,13,1339,"6, 16",6,5,6,5,0,,0
125,920924,Geum rivale,p,hc,h,2.9,14,1196,"1, 16",6,7,6,4,0,,0
217,920923,Geum rivale x urbanum (G. x intermedium),p,hc,h,,,,,,,,,,,0
22,920925,Geum urbanum,p,hc,h,3.6,14.7,1044,1,4,6,7,7,0,,0
49,920931,Glechoma hederacea,p,hc,h,3.6,14.9,1001,"1, 3",6,6,7,7,0,,2
327,920933,Glyceria fluitans,p,Hy,h,3.5,14.5,1098,"11, 14",7,10,6,6,0,,0
442,920934,Glyceria maxima,p,Hy,h,3.6,15.5,823,11,7,10,7,8,0,,0
696,920936,Glyceria notata,p,Hy,h,3.6,15.2,902,"11, 14",7,10,6,7,0,,0
540,9204943,Glyceria seedling/sp,p,Hy,h,,,,,,,,,,,0
464,920941,Gnaphalium uliginosum,a,Th,h,3.6,14.6,1074,"11, 13",7,6,6,5,0,,0
453,920943,Goodyera repens,p,hc,h,2.2,13.2,1030,2,5,5,3,2,0,,0
370,920948,Gymnadenia conopsea,p,Gn,h,3.2,14.2,1187,"7, 11",7,6,7,3,0,,0
333,9102050,Gymnocarpium dryopteris,p,Gn,h,2.2,13.1,1445,"1, 16",4,5,4,4,0,,0
619,9102054,Gymnocarpium robertianum,p,Gn,h,2.7,14.6,1168,16,7,3,8,4,0,,0
286,9201003,Hypericum androsaemum,p,Pn,ws,4,14.8,1184,"1, 3",5,6,6,5,0,am,0
744,9201004,Hypericum calycinum,p,Ch,ws,4,15.6,884,3,5,7,5,5,0,am,0
710,920962,Helictotrichon pubescens,p,hc,h,3.5,14.6,1038,"6, 7",7,4,7,3,0,,0
725,200004000,Helleborus sp.,p,,h,,,,,,,,,,,0
115,920968,Heracleum sphondylium,b,hc,h,3.6,14.5,1088,"3, 6",7,5,7,7,0,,0
93,9202560,Hieracium 'indeterminate',p,,h,,,,,,,,,,,0
65,920983,Holcus lanatus,p,hc,h,3.5,14.4,1106,"5, 6",7,6,6,5,0,,2
11,920984,Holcus mollis,p,hc,h,3.4,14.5,1101,"1, 3, 9",6,6,3,3,0,,2
609,820126,Homalothecium lutescens,,moss,moss,,,,,,,,,,,0
683,820335,Hookeria lucens,,moss,moss,,,,,,,,,,,0
222,920989,Hordelymus europaeus,p,hc,h,3.2,15.5,788,1,6,4,7,7,0,,0
422,9204368,Hordeum distichon sens.lat.,a,Th,h,3.8,15.4,898,"3, 4",8,4,7,7,0,,0
579,200001626,Hordeum sp.,,,h,,,,,,,,,,,0
711,920996,Humulus lupulus,p,hc,h,3.8,15.8,833,3,6,7,7,8,0,,0
373,9201080,Juniperus communis,p,Ph,ws,2.8,13.4,1380,"7, 10, 15, 16",8,5,5,3,0,am,2
50,920687,Hyacinthoides non-scripta,p,Gb,h,3.6,14.6,1092,"1, 9",5,5,5,6,0,,2
189,9201144,Ligustrum vulgare,p,Pn,ws,3.7,15.7,865,"1, 3",6,5,7,5,0,am,0
450,920999,Hydrocotyle vulgaris,p,hc,h,3.7,14.4,1126,11,8,8,6,3,1,,0
620,820346,Hylocomium splendens,,moss,moss,,,,,,,,,,,0
378,9101001,Hymenophyllum wilsonii,p,hc,h,3.1,13.1,1685,"1, 16",5,5,3,3,0,,0
2,9201188,Lonicera periclymenum,p,Ph,ws,3.6,14.5,1102,1,5,6,5,5,0,am,0
270,9201228,Mahonia aquifolium,p,Pn,ws,3.4,15.6,786,"1, 3",5,4,6,5,0,am,0
143,9201010,Hypericum hirsutum,p,hc,h,3.3,15.3,832,"6, 7",6,5,7,5,0,,0
36,9201011,Hypericum humifusum,p,Ch,h,3.6,14.8,1085,3,7,6,4,3,0,,0
625,9201006,Hypericum maculatum,p,hc,h,3.6,15,1016,"1, 3, 16",6,6,5,5,0,,0
601,9201013,Hypericum montanum,p,hc,h,3.8,15.6,867,"1, 3",7,4,8,2,0,,0
80,9201014,Hypericum perforatum,p,hc,h,3.6,15.1,951,7,7,4,7,5,0,,0
121,9201015,Hypericum pulchrum,p,hc,h,3.5,14.3,1148,"10, 16",6,5,4,3,0,,0
598,9204536,Hypericum sp.,p,hc,h,,,,,,,,,,,0
443,9201016,Hypericum tetrapterum,p,hc,h,3.7,14.9,1025,11,7,8,6,4,0,,0
483,820351,Hypnum cupressiforme sens.lat.,,,moss,,,,,,,,,,,0
632,820352,Hypnum hamulosum,,,moss,,,,,,,,,,,0
631,8201167,Hypnum sp.,,,moss,,,,,,,,,,,0
638,9201020,Hypochaeris radicata,p,hc,h,3.5,14.5,1104,6,8,4,5,3,0,,0
74,200001584,Hypochoeris spp.,p,hc,h,,,,,,,,,,,0
37,9201023,Ilex aquifolium,p,Ph,wt,3.6,14.7,1079,1,5,5,5,5,0,am,2
214,9201026,Impatiens glandulifera,a,Th,h,3.7,15.1,957,14,6,8,7,7,0,,0
205,9201027,Impatiens noli-tangere,a,Th,h,2.6,13.9,1833,1,4,7,7,6,0,,0
756,9201028,Impatiens parviflora,a,Th,h,3.5,15.7,821,1,4,5,7,8,0,,0
755,200001629,Impatiens sp.,a,Th,h,,,,,,,,,,,0
412,9201030,Inula conyzae,p,hc,h,3.9,15.9,821,"7, 16",7,3,8,3,0,,0
290,9201036,Iris foetidissima,p,hc,h,4.2,16.1,821,1,5,4,8,5,0,,0
295,9201038,Iris pseudacorus,p,Gn,h,3.7,14.6,1081,11,7,9,6,6,1,,0
485,820357,Isopterygium elegans,,,moss,,,,,,,,,,,0
501,820362,Isothecium myosuroides,,,moss,,,,,,,,,,,0
736,820363,Isothecium myurum,,,moss,,,,,,,,,,,0
354,9201048,Jasione montana,b,hc,h,4,14.8,1152,"8, 10",7,4,4,2,0,,0
329,20000228,Juncus articulatus/acutiflora,,,h,,,,,,,,,,,0
137,9201057,Juncus bufonius sens.lat.,a,Th,h,3.5,14.5,1105,"3, 11, 13, 14",7,7,6,5,1,,0
541,200001478,Juncus bufonius/bulbosus,,,h,,,,,,,,,,,0
251,9201058,Juncus bulbosus,p,hc,h,3.5,14.2,1180,14,7,10,4,2,0,,0
204,9201063,Juncus conglomeratus,p,hc,h,3.5,14.4,1117,11,7,7,4,3,0,,0
44,9201067,Juncus effusus,p,hc,h,3.5,14.4,1108,"8, 11",7,7,4,4,0,,0
419,9201070,Juncus inflexus,p,hc,h,3.8,15.2,925,"6, 11",7,7,7,5,1,,0
343,9201075,Juncus squarrosus,p,hc,h,3.1,13.8,1254,"8, 12",7,7,2,2,0,,0
474,9201230,Malus sylvestris,p,Ph,ws,3.7,15,975,"1, 3",7,5,6,6,0,am,2
407,9201084,Knautia arvensis,p,hc,h,3.8,15.2,919,"6, 7",7,3,8,4,0,,0
201,9201087,Koeleria macrantha,p,hc,h,3.7,14.7,989,7,8,4,7,2,0,,0
12,920862,Lamiastrum galeobdolon,p,Ch,h,3.7,15.8,855,1,4,5,7,6,0,,0
224,9201098,Lamium album,p,hc,h,3.6,15.2,911,"3, 17",7,5,7,8,0,,0
110,9201104,Lapsana communis,a,Th,h,3.6,14.7,1059,"3, 17",6,4,7,7,0,,0
250,9204442,Larix sp.,,,wt,,,,,,,,,,am,0
535,9201107,Lathraea squamaria,p,Gn,h,3.3,15,955,"1, 3",3,6,7,6,0,,0
243,9201112,Lathyrus linifolius,p,Gn,h,3.3,14.2,1172,"8, 16",6,5,4,3,0,,0
269,9201116,Lathyrus pratensis,p,hc,h,3.6,14.5,1079,6,7,6,6,5,0,,0
522,9204537,Lathyrus seedling/sp,,,h,,,,,,,,,,,0
226,9201117,Lathyrus sylvestris,p,hc,h,4,16,835,3,7,4,8,2,0,,0
296,9201126,Lemna minor,p,Hy,h,3.7,14.9,986,"11, 13",7,11,7,6,0,,0
707,9201129,Leontodon autumnalis,p,hc,h,3.5,14.4,1103,6,8,6,6,4,1,,0
73,9204539,Leontodon sp.,,,h,,,,,,,,,,,0
510,810807,Lepidozia reptans,,,liverwort,,,,,,,,,,,0
727,8101306,Lepidozia sp.,,,liverwort,,,,,,,,,,,0
272,920502,Leucanthemum vulgare,p,hc,h,3.6,14.6,1074,"6, 7",8,4,7,4,0,,0
503,820374,Leucobryum glaucum,,,moss,,,,,,,,,,,0
610,920682,Leymus arenarius,p,hc,h,4,14.3,998,19,9,5,7,6,3,,0
374,9201328,Myrica gale,p,Pn,ws,3.4,13.8,1353,12,8,9,3,2,0,u,0
119,9201687,Rhododendron ponticum,p,Ph,ws,3.5,14.6,1111,"1, 10, 16",5,5,3,3,0,er,1
242,9201164,Linaria vulgaris,p,hc,h,3.6,15.2,935,"3, 6",7,4,8,6,0,,0
379,9201169,Linum catharticum,b,hc,h,3.5,14.4,1113,7,8,5,7,2,0,,0
457,9201172,Listera cordata,p,Gn,h,2.4,12.8,1450,"2, 10, 12",3,6,2,2,0,,0
168,9201173,Listera ovata,p,Gn,h,3.6,14.8,1001,"1, 11",6,5,7,5,0,,0
530,9201174,Lithospermum officinale,p,hc,h,3.9,15.8,820,"1, 3, 7",6,5,8,5,0,,0
401,9201182,Lolium multiflorum,a,Th,h,3.6,14.9,968,5,7,5,7,7,0,,0
159,9201183,Lolium perenne,p,hc,h,3.6,14.5,1096,"3, 5, 6",8,5,6,6,0,,0
59,9201694,Ribes nigrum,p,Pn,ws,3.4,14.9,995,"1, 3, 14",5,9,6,6,0,am,0
60,9201696,Ribes rubrum,p,Pn,ws,3.3,15.1,944,1,5,7,7,6,0,am,0
689,810812,Lophocolea bidentata var.bidentata,,,liverwort,,,,,,,,,,,0
500,810814,Lophocolea heterophylla,,,liverwort,,,,,,,,,,,0
482,8101308,Lophocolea sp.,,,liverwort,,,,,,,,,,,0
233,9201191,Lotus corniculatus,p,hc,h,3.5,14.5,1104,"6, 7",7,4,6,2,1,,0
111,9201194,Lotus pedunculatus,p,hc,h,3.6,14.7,1072,11,7,8,6,4,0,,0
323,9205049,Luzula campestris/multiflora,,,h,,,,,,,,,,,0
597,9201202,Luzula forsteri,p,hc,h,4.2,16.2,859,1,4,4,5,2,0,,0
330,9201203,Luzula luzuloides,,,h,,,,,,,,,,,0
14,9201207,Luzula pilosa,p,hc,h,3.2,14.4,1127,"1, 2",5,5,5,3,0,,0
694,200001141,Luzula sp.,,,h,,,,,,,,,,,0
167,9201209,Luzula sylvatica,p,hc,h,3.3,14.1,1208,"1, 16",5,5,4,4,0,,2
66,9201210,Lychnis flos-cuculi,p,hc,h,3.5,14.5,1095,11,7,9,6,4,0,,0
185,9201219,Lycopus europaeus,p,hc,h,3.8,15.2,995,11,7,8,7,6,0,,0
94,9201221,Lysimachia nemorum,p,Ch,h,3.4,14.4,1150,1,5,7,4,5,0,,0
426,9201222,Lysimachia nummularia,p,hc,h,3.7,15.5,895,"6, 11, 14",5,7,5,5,0,,0
429,9201350,Lysimachia thyrsiflora,p,hc,h,2.7,14.2,1200,"11, 13",8,10,4,3,0,,0
67,9201225,Lysimachia vulgaris,p,hc,h,3.7,15.2,943,11,7,9,7,5,0,,0
469,9201444,Lythrum portula,a,Th,h,3.8,14.8,1084,"11, 13",8,9,5,3,0,,0
698,9201227,Lythrum salicaria,p,hc,h,4,15,1024,11,7,9,7,5,0,,0
236,9201697,Ribes uva-crispa,p,Pn,ws,3.4,14.8,1006,"1, 3",5,5,7,6,0,am,0
15,9201705,Rosa seedling/sp,,,ws,,,,,,,,,,am,0
525,200001638,Malva sp.,,,h,,,,,,,,,,,0
186,9201236,Malva sylvestris,p,hc,h,3.8,15.3,899,"3, 17",8,4,8,7,0,,0
723,8101311,Marchantia spp.,,,liverwort,,,,,,,,,,,0
183,9201242,Matricaria discoidea,a,Th,h,3.6,14.5,1086,"3, 4",7,5,7,7,0,,0
577,200001639,Matricaria sp.,,,h,,,,,,,,,,,0
444,9201246,Meconopsis cambrica,p,hc,h,3.5,14,1321,1,4,5,7,5,0,,0
410,9201250,Medicago lupulina,a,Th,h,3.8,15,963,"7, 17",7,4,8,4,0,,0
622,9201255,Melampyrum cristatum,a,Th,h,3.4,16.3,606,3,6,3,8,2,0,,0
169,9201256,Melampyrum pratense,a,Th,h,3.2,14.3,1220,"1, 2",5,5,2,3,0,,0
600,200001640,Melampyrum sp.,,,h,,,,,,,,,,,0
309,9201262,Melica nutans,p,hc,h,1.9,13,1483,"1, 7, 16",4,5,7,3,0,,0
40,9201263,Melica uniflora,p,hc,h,3.5,15,1015,1,4,5,7,5,0,,0
304,9201267,Melilotus officinalis,b,hc,h,3.7,15.7,790,"3, 17",8,5,7,5,0,,0
258,9201272,Mentha aquatica,p,hc,h,3.7,14.7,1065,11,7,8,7,5,0,,0
677,9201279,Mentha aquatica x spicata (M. x piperita),,,h,,,,,,,,,,,0
225,9201273,Mentha arvensis,p,hc,h,3.6,14.9,1017,"4, 11",6,7,7,6,0,,0
759,9204443,Mentha sp.,,,h,,,,,,,,,,,0
783,9201289,Menyanthes trifoliata,p,Gn,h,3.4,14.1,1201,11,8,10,4,3,0,,0
87,9201291,Mercurialis perennis,p,hc,h,3.2,14.8,1045,1,3,6,7,7,0,,2
171,9201296,Milium effusum,p,hc,h,3.6,15.3,928,1,4,5,6,5,0,,2
182,9204328,Mimulus guttatus,p,hc,h,3.2,14.5,1020,"13, 14",7,9,6,6,0,,0
772,9201298,Mimulus seedling/sp,p,hc,h,3.2,14.3,1106,"13, 14",7,9,6,5,0,,0
493,820382,Mnium hornum,,,moss,,,,,,,,,,,0
180,9201305,Moehringia trinervia,a,Th,h,3.5,15,982,1,4,5,7,6,0,,0
768,9201306,Moenchia erecta,a,Th,h,4.2,16,823,8,9,4,4,3,0,,0
92,9201307,Molinia caerulea,p,hc,h,3.5,14.2,1179,12,7,8,3,2,0,,2
585,9201308,Moneses uniflora,p,hc,h,2,13,985,2,4,5,4,1,0,,0
751,9201312,Montia fontana,a,Th,h,3.4,14.1,1198,11,7,9,5,3,0,,0
193,9201315,Mycelis muralis,p,hc,h,3.3,15.2,944,"1, 16",4,5,7,5,0,,0
494,9201317,Myosotis arvensis,a,Th,h,3.5,14.6,1056,"3, 4",7,5,6,6,0,,0
405,9201322,Myosotis scorpioides,p,hc,h,3.5,14.7,1037,"11, 14",7,9,6,6,0,,0
697,9201323,Myosotis secunda,p,hc,h,3.3,14,1237,11,6,9,5,4,0,,0
153,9204542,Myosotis seedling/sp,,,h,,,,,,,,,,,0
543,9201325,Myosotis sylvatica,p,hc,h,3.4,15.1,931,1,6,5,7,5,0,,0
544,9201707,Rosa arvensis,p,Pn,ws,3.9,15.4,910,3,6,4,7,5,0,am,0
265,9201333,Myrrhis odorata,p,hc,h,3,14.1,1084,"3, 17",7,6,7,7,0,,0
596,9205478,Narcissus pseudonarcissus,p,Gb,h,3.7,15.6,920,3,7,5,6,5,0,,0
256,9201344,Nardus stricta,p,hc,h,3.2,14,1226,8,7,7,3,2,0,,0
365,9201345,Narthecium ossifragum,p,hc,h,3.3,13.8,1296,12,8,9,2,1,0,,0
708,820402,Neckera crispa,,,moss,,,,,,,,,,,0
435,9201358,Nymphaea alba,p,Hy,h,3.6,14.8,1090,13,7,11,6,4,0,,0
397,9201361,Odontites vernus,a,Th,h,3.7,14.7,1047,6,7,5,6,5,0,,0
293,9201363,Oenanthe crocata,p,hc,h,4,14.8,1124,"11, 14",7,9,6,7,1,,0
399,9201379,Onopordum acanthium,p,hc,h,3.7,15.9,733,"3, 17",8,4,6,7,0,,0
275,9101381,Ophioglossum vulgatum sens.lat.,p,Gn,h,3.6,15.1,964,6,8,7,7,3,0,,0
268,9201387,Orchis mascula,p,Gn,h,3.5,14.7,1073,"1, 7, 16",6,5,7,4,0,,0
308,9102051,Oreopteris limbosperma,p,hc,h,2.8,13.7,1323,"1, 16",6,6,4,3,0,,0
318,9201393,Origanum vulgare,p,Ch,h,3.7,15.3,898,"7, 16",6,4,7,4,0,,0
445,200001585,Orobanche sp.,,,h,,,,,,,,,,,0
618,9201410,Orthilia secunda,p,Ch,h,1.4,12.2,1568,"2, 10, 16",5,5,5,3,0,,0
758,9101411,Osmunda regalis,p,hc,h,4.2,14.5,1225,"1, 11",6,9,5,4,0,,0
39,9201413,Oxalis acetosella,p,hc,h,3.4,14.4,1138,"1, 2, 16",4,6,4,4,0,,0
452,9201435,Parietaria judaica,p,hc,h,4.1,15.6,865,"16, 17",7,4,8,5,1,,0
282,9201436,Paris quadrifolia,p,Gn,h,3.2,15.3,877,1,3,6,7,6,0,,0
377,9201437,Parnassia palustris,p,hc,h,3,13.7,1236,11,8,8,7,3,0,,0
769,9201440,Pastinaca sativa,b,hc,h,3.8,16,774,"3, 6, 7",7,4,7,5,0,,0
366,9201441,Pedicularis palustris,b,hc,h,3.3,14,1226,11,8,8,5,2,0,,0
733,200001645,Pedicularis sp.,,,h,,,,,,,,,,,0
367,9201442,Pedicularis sylvatica,p,hc,h,3.4,14.1,1202,"10, 12, 14",8,8,3,2,0,,0
512,8101323,Pellia sp.,,,liverwort,,,,,,,,,,,0
640,5503836,Peltigera canina,,,lichen,,,,,,,,,,,0
703,9201521,Persicaria amphibia,p,Hy,h,3.7,14.9,986,"11, 13",7,10,6,6,0,,0
479,9202246,Persicaria amplexicaulis,,,h,,,,,,,,,,,0
402,9201525,Persicaria bistorta,p,hc,h,3.3,14.8,1021,6,6,7,6,6,0,,0
239,9201530,Persicaria hydropiper,a,Th,h,3.7,14.8,1093,"11, 13, 14",7,7,6,6,0,,0
238,9201537,Persicaria maculosa,a,Th,h,3.6,14.6,1077,"3, 4",7,6,6,7,0,,0
462,9201543,Persicaria vivipara,p,hc,h,1.6,12.2,1588,"7, 15",8,6,6,2,0,,0
718,9201447,Petasites hybridus,p,Gn,h,3.6,14.8,1002,14,6,7,7,7,0,,0
353,200001696,Petasites spp.,,,h,,,,,,,,,,,0
385,9201454,Phalaris arundinacea,p,Hy,h,3.6,14.6,1044,"11, 14",7,9,7,7,1,,0
685,200001647,Phalaris sp.,,,h,,,,,,,,,,,0
322,9102053,Phegopteris connectilis,p,Gn,h,2.4,13.1,1515,"1, 16",4,6,4,4,0,,0
652,8201199,Philonotis sp.,,,moss,,,,,,,,,,,0
166,9202247,Phleum pratense sens.lat.,p,hc,h,3.5,14.7,1047,"3, 5, 6",8,5,7,6,0,,0
192,9101466,Phyllitis scolopendrium,p,hc,h,3.8,14.8,1048,"1, 16",4,5,7,5,0,,0
724,9201470,Picea abies,p,Ph,wt,3.2,14.7,1054,2,7,6,3,4,0,em,0
728,9202401,Picea sitchensis,p,Ph,wt,3.2,14.1,1223,2,7,7,2,2,0,em,2
139,9205155,Picea sp,p,Ph,wt,,,,,,,,,,em,0
387,9201471,Picris echioides,a,Th,h,3.9,15.9,795,"3, 4",7,5,7,6,0,,0
337,920976,Pilosella officinarum,p,hc,h,3.5,14.5,1094,7,8,4,7,2,0,,0
477,9201475,Pimpinella major,p,hc,h,3.6,15.5,819,6,7,5,7,6,0,,0
408,9201476,Pimpinella saxifraga,p,hc,h,3.6,15,968,7,7,4,7,3,0,,0
