,BRC,species,preneation,life form,woodiness,Tjan,Tjul,Prec,Br Habitats,L,F,R,N,S,ms,flag
454,9201480,Pinguicula lusitanica,p,hc,h,3.9,13.7,1475,"10, 11",8,8,4,2,0,,0
394,9201481,Pinguicula vulgaris,p,hc,h,3,13.6,1305,"11, 12",8,8,6,2,0,,0
748,9204546,Pinus sp./seedling,p,Ph,wt,,,,,,,,,,em,0
261,9201484,Pinus sylvestris,p,Ph,wt,0.8,11.7,1930,2,7,6,2,2,0,em,0
626,810872,Plagiochila asplenioides sens.lat.,,,liverwort,,,,,,,,,,,0
563,200001105,Plagiochila sp,,,liverwort,,,,,,,,,,,0
657,810874,Plagiochila spinulosa agg.,,,liverwort,,,,,,,,,,,0
553,820379,Plagiomnium affine,,,moss,,,,,,,,,,,0
571,820383,Plagiomnium rostratum,,,moss,,,,,,,,,,,0
489,820395,Plagiomnium undulatum,,,moss,,,,,,,,,,,0
499,820449,Plagiothecium denticulatum,,,moss,,,,,,,,,,,0
735,20000994,Plagiothecium sp,,,moss,,,,,,,,,,,0
754,8201206,Plagiothecium sp.,,,moss,,,,,,,,,,,0
495,820459,Plagiothecium undulatum,,,moss,,,,,,,,,,,0
104,9201487,Plantago lanceolata,p,hc,h,3.5,14.5,1105,"5, 6, 7",7,5,6,4,0,,0
132,9201488,Plantago major,p,hc,h,3.5,14.5,1102,"3, 5",7,5,6,7,0,,0
173,9201493,Platanthera chlorantha,p,Gn,h,3.4,14.7,1147,"1, 6",5,5,7,4,0,,0
616,820463,Pleurozium schreberi,,,moss,,,,,,,,,,,0
68,9201495,Poa annua,a,Th,h,3.5,14.5,1105,"3, 4, 5, 6",7,5,6,7,1,,0
105,9201504,Poa nemoralis,p,hc,h,3.2,14.8,1015,1,4,5,6,5,0,,0
85,200001593,Poa nemoralis/trivialis,,,h,,,,,,,,,,,2
237,9201506,Poa pratensis sens.lat.,p,hc,h,3.5,14.5,1102,"3, 5, 6, 7",7,5,6,5,1,,0
767,9204547,Poa sp.,,,h,,,,,,,,,,,0
106,9201507,Poa trivialis,p,hc,h,3.6,14.5,1095,"1, 3, 5, 6",7,6,6,6,0,,0
681,820479,Pogonatum aloides,,,moss,,,,,,,,,,,0
515,820489,Pogonatum urnigerum,,,moss,,,,,,,,,,,0
764,8201213,Pohlia sp.,,,moss,,,,,,,,,,,0
359,9201512,Polygala calcarea,p,Ch,h,3.7,16.2,783,7,7,3,8,2,0,,0
320,9201515,Polygala oxyptera,p,Ch,h,3.5,14.4,1114,7,8,5,6,3,0,,0
319,9201514,Polygala serpyllifolia,p,Ch,h,3.4,14.1,1200,"8, 10, 12",8,7,2,2,0,,0
170,9201516,Polygonatum multiflorum,p,Gn,h,3.6,16,829,1,4,5,7,6,0,,0
439,9201518,Polygonatum odoratum,p,Gn,h,3.1,15.1,1091,"1, 16",5,3,7,3,0,,0
161,9201522,Polygonum aviculare agg.,a,Th,h,3.6,14.6,1073,"3, 4, 17",7,5,7,6,0,,0
447,9201531,Polygonum lapathifolium,a,Th,h,3.7,15.1,958,"4, 11",7,6,7,7,0,,0
746,9204549,Polygonum sp.,,,h,,,,,,,,,,,0
675,200001676,Polypodium sp.,,,h,,,,,,,,,,,0
124,9101544,Polypodium vulgare sens.lat.,p,hc,h,3.5,14.4,1133,1,5,5,5,3,0,,0
155,9101546,Polystichum aculeatum,p,hc,h,3.2,14.4,1145,"1, 16",5,5,7,5,0,,0
140,9101548,Polystichum setiferum,p,hc,h,4.1,15,1032,1,4,5,5,6,0,,0
766,9104651,Polystichum sp.,,,moss,,,,,,,,,,,0
628,820485,Polytrichum juniperinum,,,moss,,,,,,,,,,,0
682,820488,Polytrichum piliferum,,,moss,,,,,,,,,,,0
488,8201214,Polytrichum sp.,,,moss,,,,,,,,,,,0
692,9201551,Populus canescens,p,Ph,wt,3.8,15.6,819,"1, 3",6,6,6,5,0,d,0
688,200001651,Populus sp.,p,Ph,wt,,,,,,,,,,d,0
334,9201555,Populus tremula,p,Ph,wt,3.3,14.5,1102,"1, 16",6,5,5,6,0,d,2
311,9201576,Potamogeton polygonifolius,p,Hy,h,3.3,13.9,1254,"11, 12, 13",8,10,4,2,0,,0
731,9204551,Potamogeton sp.,,,h,,,,,,,,,,,0
231,9201584,Potentilla anserina,p,hc,h,3.6,14.6,1083,6,8,7,7,6,2,,0
230,9201588,Potentilla erecta,p,hc,h,3.5,14.4,1118,8,7,7,3,2,0,,0
431,9201592,Potentilla palustris,p,Gn,h,3.4,14,1186,11,8,9,5,3,0,,0
771,9201593,Potentilla recta,,,h,,,,,,,,,,,0
191,9201594,Potentilla reptans,p,hc,h,3.8,15.1,959,6,7,5,7,5,0,,0
53,9201596,Potentilla sterilis,p,hc,h,3.6,14.7,1071,1,5,5,5,5,0,,0
211,9201600,Primula elatior,p,hc,h,3.3,16.3,591,1,4,5,7,6,0,,0
376,9201605,Primula veris,p,hc,h,3.7,15.2,900,"6, 7",7,4,7,3,0,,0
31,9201607,Primula vulgaris,p,hc,h,3.5,14.5,1108,"1, 16",5,5,6,4,0,,0
69,9201610,Prunella vulgaris,p,hc,h,3.5,14.4,1106,"6, 7",7,5,6,4,0,,0
260,9201611,Prunus avium,p,Ph,wt,3.4,14.8,1024,1,4,5,6,6,0,am,0
187,9201615,Prunus laurocerasus,p,Ph,wt,3.8,15.3,953,"1, 17",4,6,5,6,0,u,1
324,9201616,Prunus padus,p,Ph,wt,2.7,13.8,1240,1,5,6,6,7,0,am,2
588,9204552,Prunus sp.,,,wt,,,,,,,,,,am,2
42,9201617,Prunus spinosa,p,Ph,wt,3.7,14.8,1032,3,6,5,7,6,1,am,2
491,820507,Pseudoscleropodium purum,,,moss,,,,,,,,,,,0
299,9205178,Pseudotsuga spp.,,,wt,,,,,,,,,,em,0
1,9101619,Pteridium aquilinum,p,Gn,h,3.5,14.5,1109,"1, 9",6,5,3,3,0,,2
729,820512,Ptilium crista-castrensis,,,moss,,,,,,,,,,,0
284,9201625,Pulicaria dysenterica,p,hc,h,4,15.5,885,"6, 11",7,7,7,4,0,,0
471,9201627,Pulmonaria longifolia,p,hc,h,4.7,16.5,810,"1, 3",6,4,6,5,0,,0
264,9201631,Pyrola minor,p,hc,h,2.6,13.9,1089,"1, 16",5,5,4,2,0,,0
120,9201637,Quercus ilex,p,Ph,wt,4.1,15.9,824,"1, 17, 19",6,3,7,4,1,em,0
24,9204446,Quercus seedling/sp,,,wt,,,,,,,,,,em,0
648,820525,Racomitrium lanuginosum,,,moss,,,,,,,,,,,0
668,8201226,Racomitrium sp.,,,moss,,,,,,,,,,,0
70,9201642,Ranunculus acris,p,hc,h,3.5,14.4,1106,"5, 6",7,6,6,4,0,,0
557,9201645,Ranunculus auricomus,p,hc,h,3.3,15.1,922,1,6,7,6,5,0,,0
508,9201649,Ranunculus ficaria,p,Gn,h,3.6,14.5,1084,"1, 3",6,6,6,6,0,,0
352,9201651,Ranunculus flammula,p,hc,h,3.5,14.4,1122,11,7,9,5,3,0,,0
43,9201660,Ranunculus repens,p,hc,h,3.5,14.5,1105,"3, 5, 6",6,7,6,7,0,,0
594,9204555,Ranunculus seedling/sp,,,h,,,,,,,,,,,0
786,9201672,Reseda lutea,p,hc,h,3.6,15.7,808,3,7,4,7,5,0,,0
437,9201675,Rhamnus cathartica,p,Ph,wt,3.6,15.8,783,"1, 3",7,5,7,6,0,am,2
347,9205193,Rhinanthus sp.,,,h,,,,,,,,,,,0
673,820389,Rhizomnium punctatum,,,moss,,,,,,,,,,,0
542,9201708,Rosa canina agg.,p,Pn,ws,3.7,15.1,993,"1, 3",6,5,7,6,0,am,0
706,9201719,Rosa pimpinellifolia,p,Ch,ws,3.8,14.4,1124,"10, 16, 19",8,3,6,3,0,am,0
519,820532,Rhytidiadelphus loreus,,,moss,,,,,,,,,,,0
490,820533,Rhytidiadelphus squarrosus,,,moss,,,,,,,,,,,0
539,820534,Rhytidiadelphus triquetrus,,,moss,,,,,,,,,,,0
138,9201725,Rubia peregrina,p,hc,ws,5.2,15.7,1031,1,6,4,8,5,0,u,0
572,9201726,Rubus caesius,p,Ch,ws,3.8,15.6,851,3,7,7,7,6,0,am,0
3,9201728,Rubus fruticosus agg.,p,Pn,ws,3.6,14.6,1089,"1, 3",6,6,6,6,0,am,2
77,9201729,Rubus idaeus,p,Pn,ws,3.4,14.5,1095,1,6,5,5,5,0,am,0
240,9201698,Robinia pseudoacacia,p,Ph,wt,3.7,16,748,"3, 17",7,4,6,6,0,am,1
475,9201348,Rorippa nasturtium-aquaticum agg.,p,Hy,h,3.7,14.8,1027,"11, 13, 14",7,10,7,7,0,,0
279,9201760,Ruscus aculeatus,p,Pn,ws,4.3,16.4,782,"1, 3",4,5,4,4,0,am,0
669,9201787,Salix aurita,p,Pn,ws,3.4,14.2,1190,"1, 16",7,8,4,3,0,em,2
513,9201789,Salix cinerea,p,Ph,ws,3.5,14.5,1096,"1, 11",7,8,6,5,0,d,0
653,9201802,Salix repens agg.,p,Pn,ws,3.5,14,1205,"10, 19",8,7,6,3,0,d,0
96,9201815,Sambucus nigra,p,Ph,ws,3.6,14.7,1061,"3, 17",6,5,7,7,0,am,1
615,9201816,Sambucus racemosa,p,Ph,ws,2.3,13.6,1048,"1, 3",6,5,6,7,0,am,0
257,9201822,Cytisus scoparius,p,Pn,ws,3.4,14.6,1085,3,8,5,4,4,0,am,2
82,9201947,Solanum dulcamara,p,Pn,sw,3.8,15.2,945,"3, 11, 14",7,8,7,7,0,am,0
313,9201730,Rubus saxatilis,p,hc,h,2.4,13,1514,"1, 7, 16",7,5,7,4,0,,0
345,9202060,Thymus polytrichus,p,Ch,sw,3.4,14.2,1175,"7, 16",8,4,6,2,0,am,0
135,9201734,Rumex acetosa,p,hc,h,3.5,14.4,1105,"5, 6",7,5,5,4,0,,0
116,9201735,Rumex acetosella,p,hc,h,3.5,14.4,1110,"8, 9, 16",7,5,4,3,0,,0
126,9201741,Rumex conglomeratus,p,hc,h,3.9,15.2,953,"11, 14",8,8,7,7,0,,0
532,9201742,Rumex crispus,p,hc,h,3.6,14.5,1087,"3, 6, 19",8,6,7,6,2,,0
702,9201745,Rumex hydrolapathum,p,hc,h,3.9,15.7,812,11,7,10,7,6,0,,0
56,9201748,Rumex obtusifolius,p,hc,h,3.6,14.5,1100,"3, 5, 17",7,5,7,9,0,,0
492,9201753,Rumex sanguineus,p,hc,h,3.8,15,1003,1,5,7,7,7,0,,0
90,9202136,Vaccinium myrtillus,p,Ch,ws,3.3,13.9,1243,"10, 16",6,6,2,2,0,er,2
404,9202559,Sagina apetala,a,Th,h,3.7,14.9,989,17,9,4,6,3,0,,0
742,9201767,Sagina procumbens,p,hc,h,3.5,14.4,1106,"6, 16, 17",7,6,6,5,1,,0
133,9205207,Sagina sp.,,,h,,,,,,,,,,,0
649,9202137,Vaccinium uliginosum,p,Ch,ws,1.1,11.7,1897,"12, 15, 16",7,6,2,2,0,er,0
547,9201788,Salix caprea,p,Ph,wt,3.4,14.6,1080,1,7,7,7,7,0,em,2
371,9202138,Vaccinium vitis-idaea,p,Ch,ws,2.2,12.9,1474,"2, 10, 15",6,5,2,2,0,er,1
283,9202184,Viburnum lantana,p,Ph,ws,3.8,16.2,763,"1, 3",7,5,7,5,0,am,2
249,9204558,Salix seedling/sp,,,wt,,,,,,,,,,u,2
23,9202185,Viburnum opulus,p,Ph,ws,3.6,15,1019,1,6,7,6,6,0,am,0
470,9202613,Lonicera nitida,,,ws,,,,,,,,,,am,0
749,9201818,Sanguisorba officinalis,p,hc,h,3.2,15.1,938,6,7,7,6,5,0,,0
54,9201819,Sanicula europaea,p,hc,h,3.5,14.7,1090,1,4,5,7,5,0,,0
459,9201826,Saxifraga aizoides,p,Ch,h,1.7,12.3,1799,"7, 11, 15, 16",8,9,6,2,0,,0
460,9201837,Saxifraga oppositifolia,p,Ch,h,1.8,12.1,1980,"7, 15, 16",8,6,8,2,0,,0
212,9201844,Saxifraga umbrosa,,,h,,,,,,,,,,,0
476,9201846,Scabiosa columbaria,p,hc,h,3.5,15.6,831,7,8,3,8,2,0,,0
658,810927,Scapania gracilis,,,liverwort,,,,,,,,,,,0
687,9201861,Scirpus sylvaticus,p,hc,h,3.4,15.2,921,"1, 11",6,8,6,6,0,,0
71,9201865,Scrophularia auriculata,p,hc,h,3.9,15.4,918,"11, 14",7,8,7,7,0,,0
84,9201867,Scrophularia nodosa,p,hc,h,3.6,14.7,1069,"1, 3",5,6,7,6,0,,0
448,9201870,Scrophularia vernalis,b,hc,h,3.3,15.3,769,"1, 3",5,5,7,7,0,,0
300,9201872,Scutellaria galericulata,p,hc,h,3.6,14.9,1055,11,7,8,6,5,0,,0
424,9201874,Scutellaria minor,p,hc,h,4.1,14.9,1191,11,7,9,4,2,0,,0
738,9205232,Scutellaria sp.,,,h,,,,,,,,,,,0
358,9201875,Sedum acre,p,Ch,h,3.7,14.9,995,16,8,2,7,2,1,,0
455,9201877,Sedum anglicum,p,Ch,h,4.1,14.3,1321,"16, 18",8,3,4,2,1,,0
645,9205234,Sedum sp.,,,h,,,,,,,,,,,0
228,9201885,Sedum telephium,p,hc,h,3.5,15,1032,"1, 3, 16",7,5,7,5,1,,0
253,9201891,Senecio aquaticus,b,hc,h,3.6,14.5,1109,"11, 14",7,8,6,5,0,,0
545,9201896,Senecio erucifolius,p,hc,h,3.8,15.8,783,"3, 6",7,5,7,5,0,,0
127,9201899,Senecio jacobaea,p,hc,h,3.6,14.5,1102,"3, 6, 7, 8",7,4,6,4,0,,0
164,9201905,Senecio vulgaris,a,Th,h,3.6,14.6,1075,"3, 4, 17",7,5,7,7,0,,0
693,920172,Seriphidium maritimum,p,Ch,h,4.3,15.8,783,21,9,7,8,6,5,,0
420,9201906,Serratula tinctoria,p,hc,h,3.8,15.5,965,7,7,6,6,2,0,,0
321,9201908,Sesleria caerulea,p,hc,h,3.1,13.9,1262,"7, 16",7,6,8,2,0,,0
421,9201916,Silaum silaus,p,hc,h,3.6,15.8,743,6,8,5,7,4,0,,0
641,9201917,Silene acaulis,p,Ch,h,1.9,11.8,1937,"7, 15, 16",8,5,6,1,0,,0
28,9201259,Silene dioica,p,hc,h,3.4,14.6,1065,1,5,6,6,7,0,,0
289,9201260,Silene dioica x latifolia (S. x hampeana),,,h,,,,,,,,,,,0
441,9201258,Silene latifolia,p,hc,h,3.6,15.1,911,3,7,4,7,6,0,,0
660,9201930,Silybum marianum,b,hc,h,4,15.8,781,3,8,4,8,6,1,,0
602,20000407,Sinapis arvensis/alba,,,h,,,,,,,,,,,0
297,9201944,Sium latifolium,p,Hy,h,3.7,15.9,702,"11, 14",7,10,7,7,0,,0
705,9204526,Cotoneaster sp.,p,Ph,ws,,,,,,,,,,am,0
57,9201951,Solidago virgaurea,p,hc,h,3.4,14.2,1217,"10, 16",5,5,4,3,0,,0
263,9201952,Sonchus arvensis,p,hc,h,3.8,14.8,1013,4,8,6,7,6,1,,0
388,9201953,Sonchus asper,a,Th,h,3.7,14.6,1070,"3, 4",7,5,7,6,0,,0
97,9201954,Sonchus oleraceus,a,Th,h,3.7,14.8,1031,"3, 4",7,5,7,7,0,,0
534,9204560,Sonchus sp.,,,h,,,,,,,,,,,0
315,9201958,Sorbus aria,p,Ph,wt,3.8,16.3,774,1,6,4,7,4,0,am,0
75,9201960,Sorbus aucuparia,p,Ph,wt,3.4,14.4,1128,"1, 2, 16",6,6,3,4,0,am,0
276,9201977,Sorbus torminalis,p,Ph,wt,3.9,16,804,1,4,5,6,5,0,am,2
427,9201981,Sparganium erectum,p,Hy,h,3.7,14.9,1000,"11, 13",7,10,7,7,0,,0
753,9205262,Spergularia sp.,,,moss,,,,,,,,,,,0
639,820564,Sphagnum capillifolium,,,moss,,,,,,,,,,,0
777,820557,Sphagnum fimbriatum,,,moss,,,,,,,,,,,0
757,820559,Sphagnum girgensohnii,,,moss,,,,,,,,,,,0
617,820566,Sphagnum palustre,,,moss,,,,,,,,,,,0
637,820567,Sphagnum papillosum,,,moss,,,,,,,,,,,0
778,820571,Sphagnum recurvum,,,moss,,,,,,,,,,,0
636,8201243,Sphagnum sp.,,,moss,,,,,,,,,,,0
780,820575,Sphagnum squarrosum,,,moss,,,,,,,,,,,0
190,920237,Stachys officinalis,p,hc,h,3.6,15.4,940,"6, 7",7,5,5,3,0,,0
400,9202003,Stachys palustris,p,Gn,h,3.7,14.6,1079,"11, 14",7,8,7,7,0,,0
72,9202005,Stachys sylvatica,p,hc,h,3.6,14.7,1064,3,6,6,7,8,0,,0
203,9202009,Stellaria graminea,p,hc,h,3.5,14.6,1065,6,7,6,5,4,0,,0
6,9202010,Stellaria holostea,p,Ch,h,3.5,14.7,1058,1,5,5,6,6,0,,0
103,9202012,Stellaria media,a,Th,h,3.6,14.5,1095,"3, 4, 5",7,5,6,7,0,,0
425,9202014,Stellaria nemorum,p,hc,h,2.7,14.2,1027,"1, 14",4,6,6,7,0,,0
672,9202015,Stellaria palustris,p,hc,h,3.6,15.5,793,11,7,8,6,4,0,,0
732,9205266,Stellaria seedling/sp,,,h,,,,,,,,,,,0
247,9202007,Stellaria uliginosa,p,hc,h,3.5,14.4,1128,"11, 14",7,8,5,5,0,,0
287,9202021,Succisa pratensis,p,hc,h,3.5,14.4,1124,6,7,7,5,2,0,,0
599,9205026,Ligustrum sp.,,,ws,,,,,,,,,,am,0
606,9202024,Symphytum officinale,p,hc,h,3.7,15.4,871,11,7,7,7,8,0,,0
473,9205273,Symphytum sp.,,,h,,,,,,,,,,,0
129,9202032,Tamus communis,p,Gn,h,3.8,15.7,850,"1, 3",6,5,7,6,0,,0
108,920503,Tanacetum parthenium,p,Ch,h,3.5,14.9,980,"3, 17",7,4,7,6,0,,0
451,9202033,Tanacetum vulgare,p,hc,h,3.5,15,958,3,7,6,7,7,0,,0
144,9202034,Taraxacum agg.,p,hc,h,3.5,14.5,1104,"3, 5, 17",7,5,7,6,1,,0
505,9203908,Taraxacum pseudolacistophyllum (ery),,,h,,,,,,,,,,,0
623,9205454,Taraxacum sect. vulgaria,,,h,,,,,,,,,,,0
95,9202039,Taxus baccata,p,Ph,wt,3.5,15.1,976,1,4,4,7,5,0,am,0
516,9202045,Teucrium scordium,p,hc,h,4,15.8,740,"11, 13, 14",7,8,8,4,1,,0
98,9202046,Teucrium scorodonia,p,hc,h,3.5,14.5,1150,"1, 9, 16",6,4,4,3,0,,0
722,9202049,Thalictrum minus,p,hc,h,3.4,14,1185,"16, 19",7,4,6,3,0,,0
507,820592,Thamnobryum alopecurum,,,moss,,,,,,,,,,,0
608,820593,Thamnobryum angustifolium,,,moss,,,,,,,,,,,0
486,820599,Thuidium tamariscinum,,,moss,,,,,,,,,,,0
467,9202403,Thuja plicata,p,Ph,wt,3.6,15.4,977,"2, 17",4,5,5,4,0,am,0
583,9205194,Rhododendron spp.,,,ws,,,,,,,,,,er,0
480,9202063,Tilia cordata,p,Ph,wt,3.5,15.5,873,1,5,5,6,5,0,em,0
229,9202069,Torilis japonica,a,Th,h,3.7,14.9,1004,3,7,5,7,7,0,,0
704,820607,Tortella tortuosa,,,moss,,,,,,,,,,,0
504,8201255,Tortula sp.,,,moss,,,,,,,,,,,0
368,9201858,Trichophorum cespitosum,p,hc,h,3.2,13.7,1312,"10, 12",8,8,2,1,0,,0
336,9202076,Trientalis europaea,p,Gn,h,1.8,12.6,1277,"1, 2, 10",5,6,3,3,0,,0
210,9202081,Trifolium dubium,a,Th,h,3.6,14.6,1072,6,7,4,6,5,0,,0
202,9202091,Trifolium pratense,p,hc,h,3.6,14.5,1100,"6, 7",7,5,7,5,0,,0
136,9202092,Trifolium repens,p,hc,h,3.5,14.5,1105,"5, 6",7,5,6,6,0,,0
564,9205298,Trifolium seedling/sp,,,h,,,,,,,,,,,0
396,9202102,Triglochin palustre,p,hc,h,3.4,14.2,1145,11,8,9,6,2,2,,0
761,9201241,Tripleurospermum maritimum sens.lat.,a,Th,h,4.4,14.5,1132,"4, 17, 18, 19",8,5,6,6,1,,0
478,9202105,Trisetum flavescens,p,hc,h,3.6,15.2,900,"6, 7",7,4,7,4,0,,0
277,9204367,Triticum aestivum,a,Th,h,3.8,15.6,861,"3, 4",8,5,7,7,0,,0
581,9205303,Triticum sp.,,,h,,,,,,,,,,,0
390,9202106,Trollius europaeus,p,hc,h,2.2,13,1517,"11, 16",7,7,6,4,0,,0
326,9202109,Tussilago farfara,p,Gn,h,3.5,14.5,1085,16,7,6,6,6,0,,0
629,9205203,Rubus seedling,,,ws,,,,,,,,,,am,0
188,9202119,Ulmus glabra,p,Ph,wt,3.4,14.7,1056,1,4,5,7,6,0,am,0
605,9202115,Ulmus minor (c),p,Ph,wt,3.9,16.1,764,"1, 3",5,5,7,7,0,am,2
151,9202122,Ulmus procera,p,Ph,wt,3.7,15.8,819,3,5,5,8,6,0,am,2
561,9204314,Ulmus sp.,,,wt,,,,,,,,,,am,0
356,9202125,Umbilicus rupestris,p,hc,h,4.3,14.9,1125,"3, 16",6,4,5,4,0,,0
29,9202126,Urtica dioica,p,hc,h,3.6,14.5,1102,"3, 5, 14, 17",6,6,7,8,0,,0
303,200001587,Symphoricarpus sp.,,,ws,,,,,,,,,,am,0
458,9201419,Vaccinium oxycoccos,p,Ch,h,3,14,1229,12,8,9,2,1,0,,0
603,200001596,Ribes sp.,,,ws,,,,,,,,,,am,0
99,200001670,Ulex sp.,,,ws,,,,,,,,,,am,0
174,9202140,Valeriana officinalis,p,hc,h,3.4,14.5,1115,11,6,8,6,5,0,,0
554,200001671,Valeriana sp.,,,h,,,,,,,,,,,0
787,9202157,Verbascum thapsus,b,hc,h,3.7,15.2,918,3,7,4,7,5,0,,0
254,9202161,Veronica agrestis,a,Th,h,3.5,15,963,"3, 4, 17",7,6,6,7,0,,0
607,9202162,Veronica alpina,p,Ch,h,-0.7,10.9,1783,15,8,6,5,2,0,,0
218,9202163,Veronica anagallis-aquatica,a,Hz,h,3.7,15.1,899,"13, 14",7,10,7,7,0,,0
580,9202165,Veronica arvensis,a,Th,h,3.5,14.6,1077,"3, 4, 16",8,4,6,5,0,,0
207,9202166,Veronica beccabunga,p,Hy,h,3.6,14.7,1034,"11, 14",7,10,6,6,0,,0
55,9202168,Veronica chamaedrys,p,Ch,h,3.5,14.5,1095,"1, 3, 6",6,5,6,5,0,,0
565,9202171,Veronica hederifolia,a,Th,h,3.7,15.1,918,"1, 3, 4, 17",6,5,7,6,0,,0
32,9202172,Veronica montana,p,Ch,h,3.6,14.9,1029,1,4,6,6,6,0,,0
88,9202173,Veronica officinalis,p,Ch,h,3.4,14.4,1125,"7, 8",6,5,4,4,0,,0
529,9202175,Veronica persica,a,Th,h,3.7,14.9,993,"3, 4, 17",6,5,7,7,0,,0
380,9202179,Veronica scutellata,p,hc,h,3.4,14.3,1129,"11, 13",8,9,5,3,0,,0
524,9204563,Veronica seedling/sp,,,h,,,,,,,,,,,0
184,9202180,Veronica serpyllifolia,p,hc,h,3.5,14.5,1104,"3, 5, 11",7,5,6,5,0,,0
406,200001690,Hydrangea spp.,,,sw,,,,,,,,,,am,0
468,200001691,Azalea spp.,p,Ph,ws,,,,,,,,,,er,0
179,9202189,Vicia cracca,p,hc,h,3.6,14.5,1083,"3, 11",7,6,7,5,0,,0
305,9202191,Vicia hirsuta,a,Th,h,3.7,15.2,926,"3, 6",7,5,6,6,0,,0
550,9202196,Vicia orobus,p,hc,h,3,13.8,1410,16,7,5,5,4,0,,0
262,9202516,Vicia sativa,a,Th,h,3.7,14.9,991,6,7,4,7,4,0,,0
773,9204564,Vicia seedling/sp,,,h,,,,,,,,,,,0
150,9202198,Vicia sepium,p,hc,h,3.5,14.5,1095,"3, 6",6,5,6,6,0,,0
175,9202199,Vicia sylvatica,p,hc,h,3.1,14.3,1119,"1, 3, 16",7,5,7,5,0,,0
533,9202202,Vicia tetrasperma,a,Th,h,3.9,15.9,804,"3, 4, 6",7,5,7,6,0,,0
790,9202206,Viola arvensis,a,Th,h,3.6,15,940,4,8,4,6,6,0,,0
195,9202210,Viola hirta,p,hc,h,3.7,15.7,795,7,7,4,8,2,0,,0
196,9202214,Viola odorata,p,hc,h,3.8,15.7,833,7,5,5,7,7,0,,0
310,9202215,Viola palustris,p,hc,h,3.3,13.9,1262,"11, 14",7,9,3,2,0,,0
9,200001595,Viola riviniana/reichenbiana,,,h,,,,,,,,,,,0
398,9202220,Viola tricolor,a,Th,h,3.4,14.6,992,"4, 8, 19",8,4,6,4,0,,0
252,9202226,Vulpia bromoides,a,Th,h,3.8,15,1006,3,8,4,5,3,0,,0
362,9202230,Wahlenbergia hederacea,p,hc,h,4.1,14.9,1280,"11, 14",6,8,3,3,0,,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,
