,Yr,species,cover
0,1,Abies procera,100.0
1,1,Acer campestre,4100.0
2,1,Acer platanoides,200.0
3,1,Acer pseudoplatanus,23635.0
4,1,Aesculus hippocastanum,300.0
5,1,Alnus glutinosa,650.0
6,1,Arctostaphylos uva-ursi,50.0
7,1,Azalea spp.,10.0
8,1,Betula pubescens,4300.0
9,1,Betula seedling/sp,16695.0
10,1,Calluna vulgaris,7230.0
11,1,Carpinus betulus,200.0
12,1,Castanea sativa,21165.0
13,1,Clematis vitalba,2380.0
14,1,Cornus sanguinea,2055.0
15,1,Corylus avellana,10350.0
16,1,Cotoneaster integrifolius,100.0
17,1,Crataegus laevigata,650.0
18,1,Crataegus monogyna,20050.0
19,1,Cytisus scoparius,1200.0
20,1,Daphne laureola,50.0
21,1,Daphne mezereum,100.0
22,1,Empetrum nigrum,605.0
23,1,Erica cinerea,3870.0
24,1,Erica tetralix,1295.0
25,1,Euonymus europaeus,1200.0
26,1,Fagus sylvatica,9300.0
27,1,Fraxinus excelsior (c),52570.0
28,1,Genista tinctoria,100.0
29,1,Hedera helix,36135.0
30,1,Helianthemum nummularium,300.0
31,1,Hydrangea spp.,100.0
32,1,Hypericum androsaemum,1500.0
33,1,Ilex aquifolium,17920.0
34,1,Juniperus communis,450.0
35,1,Larix sp.,500.0
36,1,Ligustrum vulgare,5530.0
37,1,Lonicera nitida,50.0
38,1,Lonicera periclymenum,46170.0
39,1,Mahonia aquifolium,135.0
40,1,Malus sylvestris,50.0
41,1,Myrica gale,20.0
42,1,Picea sp,300.0
43,1,Pinus sylvestris,1500.0
44,1,Populus tremula,400.0
45,1,Prunus avium,1600.0
46,1,Prunus laurocerasus,60.0
47,1,Prunus padus,800.0
48,1,Prunus spinosa,3800.0
49,1,Pseudotsuga spp.,400.0
50,1,Quercus ilex,150.0
51,1,Quercus seedling/sp,32865.0
52,1,Rhamnus cathartica,150.0
53,1,Rhododendron ponticum,2615.0
54,1,Ribes nigrum,3455.0
55,1,Ribes rubrum,3455.0
56,1,Ribes uva-crispa,1300.0
57,1,Robinia pseudoacacia,50.0
58,1,Rosa seedling/sp,17250.0
59,1,Rubia peregrina,100.0
60,1,Rubus fruticosus agg.,64710.0
61,1,Rubus idaeus,16910.0
62,1,Ruscus aculeatus,150.0
63,1,Salix seedling/sp,2350.0
64,1,Sambucus nigra,4255.0
65,1,Solanum dulcamara,3815.0
66,1,Sorbus aria,100.0
67,1,Sorbus aucuparia,23950.0
68,1,Sorbus torminalis,100.0
69,1,Symphoricarpus sp.,5.0
70,1,Taxus baccata,2500.0
71,1,Thuja plicata,60.0
72,1,Thymus polytrichus,550.0
73,1,Ulex sp.,1555.0
74,1,Ulmus glabra,3600.0
75,1,Ulmus procera,350.0
76,1,Vaccinium myrtillus,13115.0
77,1,Vaccinium vitis-idaea,860.0
78,1,Viburnum lantana,200.0
79,1,Viburnum opulus,4705.0
80,2,Abies sp.,400.0
81,2,Acer campestre,2900.0
82,2,Acer platanoides,150.0
83,2,Acer pseudoplatanus,12360.0
84,2,Aesculus hippocastanum,150.0
85,2,Alnus glutinosa,420.0
86,2,Arbutus unedo,355.0
87,2,Betula pendula,655.0
88,2,Betula pubescens,3900.0
89,2,Betula seedling/sp,9655.0
90,2,Calluna vulgaris,4870.0
91,2,Carpinus betulus,810.0
92,2,Castanea sativa,8182.0
93,2,Clematis vitalba,1065.0
94,2,Cornus alba,50.0
95,2,Cornus sanguinea,605.0
96,2,Corylus avellana,8120.0
97,2,Cotoneaster sp.,210.0
98,2,Crataegus laevigata,150.0
99,2,Crataegus monogyna,12260.0
100,2,Crataegus sp.,450.0
101,2,Cupressus sp.,50.0
102,2,Cytisus scoparius,755.0
103,2,Daphne laureola,200.0
104,2,Empetrum nigrum,50.0
105,2,Erica cinerea,2740.0
106,2,Erica tetralix,1545.0
107,2,Euonymus europaeus,750.0
108,2,Fagus sylvatica,9600.0
109,2,Frangula alnus,50.0
110,2,Fraxinus excelsior (c),37664.0
111,2,Hedera helix,27155.0
112,2,Helianthemum nummularium,150.0
113,2,Huperzia selago,50.0
114,2,Hypericum androsaemum,750.0
115,2,Hypericum calycinum,100.0
116,2,Ilex aquifolium,22106.0
117,2,Juniperus communis,100.0
118,2,Larix sp.,350.0
119,2,Ligustrum sp.,400.0
120,2,Ligustrum vulgare,1950.0
121,2,Lonicera periclymenum,30160.0
122,2,Mahonia aquifolium,20.0
123,2,Myrica gale,260.0
124,2,Picea abies,200.0
125,2,Picea sitchensis,150.0
126,2,Picea sp,200.0
127,2,Pinus sp./seedling,50.0
128,2,Pinus sylvestris,1000.0
129,2,Populus canescens,50.0
130,2,Populus sp.,100.0
131,2,Populus tremula,410.0
132,2,Prunus avium,1850.0
133,2,Prunus laurocerasus,620.0
134,2,Prunus padus,100.0
135,2,Prunus sp.,50.0
136,2,Prunus spinosa,2653.0
137,2,Pseudotsuga spp.,600.0
138,2,Quercus seedling/sp,19915.0
139,2,Rhamnus cathartica,50.0
140,2,Rhododendron ponticum,2715.0
141,2,Rhododendron spp.,250.0
142,2,Ribes nigrum,205.0
143,2,Ribes rubrum,2185.0
144,2,Ribes sp.,615.0
145,2,Ribes uva-crispa,400.0
146,2,Rosa arvensis,1040.0
147,2,Rosa canina agg.,825.0
148,2,Rosa pimpinellifolia,200.0
149,2,Rosa seedling/sp,6453.0
150,2,Rubus caesius,955.0
151,2,Rubus fruticosus agg.,51069.0
152,2,Rubus idaeus,5120.0
153,2,Rubus seedling,1600.0
154,2,Salix aurita,700.0
155,2,Salix caprea,350.0
156,2,Salix cinerea,500.0
157,2,Salix repens agg.,100.0
158,2,Salix seedling/sp,555.0
159,2,Sambucus nigra,3350.0
160,2,Sambucus racemosa,155.0
161,2,Solanum dulcamara,1870.0
162,2,Sorbus aucuparia,12975.0
163,2,Sorbus torminalis,200.0
164,2,Taxus baccata,1050.0
165,2,Thymus polytrichus,355.0
166,2,Tilia cordata,50.0
167,2,Ulex sp.,880.0
168,2,Ulmus glabra,750.0
169,2,Ulmus minor (c),608.0
170,2,Ulmus procera,1350.0
171,2,Ulmus sp.,50.0
172,2,Vaccinium myrtillus,8230.0
173,2,Vaccinium uliginosum,100.0
174,2,Vaccinium vitis-idaea,460.0
175,2,Viburnum lantana,100.0
176,2,Viburnum opulus,1503.0
