SITE,PLOT,pH1971,pH resurvey
71,12,4.5,5.2
74,1,4.4,5.293
97,4,4.4,5.298
79,15,4.4,5.3
77,12,4.4,5.315
58,5,4.3,5.353
42,12,4.1,5.62
94,12,3.9,5.8
74,13,5.9,3.924
17,11,5.6,4.182
58,14,5.6,4.196
97,8,5.6,4.211
98,6,5.2,4.569
71,6,5.1,4.7
68,10,5,4.791
83,6,5,4.815
38,15,5,4.838
26,10,5,4.847
51,2,4.8,4.97
62,11,4.8,4.987
33,4,4.8,5
59,10,4.8,5.02
75,15,4.8,5.045
23,13,4.7,5.1
17,9,4.7,5.129
58,15,4.7,5.135
83,11,4.7,5.144
11,16,4.6,5.2
71,4,4.6,5.2
68,7,4.5,5.258
99,15,4.5,5.3
25,13,4.5,5.3
44,12,4.4,5.386
42,14,4.4,5.429
99,4,4.1,5.7
59,14,5.3,4.625
70,13,5.1,4.815
38,1,5.1,4.823
50,4,5.1,4.829
68,6,4.8,5.091
23,15,4.8,5.1
45,7,4.8,5.13
66,16,4.6,5.282
39,8,4.3,5.554
23,3,4.3,5.6
29,9,4.3,5.6
82,5,5.4,4.5
59,11,5.2,4.653
36,5,5.2,4.699
36,13,5,4.894
69,5,5,4.932
6,13,4.9,5
18,14,4.9,5.019
26,15,4.5,5.387
98,2,4.5,5.4
62,13,4.5,5.435
66,6,4.5,5.443
62,3,4.4,5.531
83,9,4.2,5.675
58,13,4.2,5.681
80,2,6,4
75,11,5.9,4.069
100,8,5.3,4.7
87,5,5.3,4.706
92,2,5.2,4.78
74,6,5.1,4.9
59,13,5,4.957
36,12,4.9,5.071
23,2,4.9,5.1
83,10,4.8,5.183
38,4,4.7,5.272
83,14,4.7,5.28
101,6,4.7,5.293
67,4,4.7,5.311
40,8,4.7,5.346
97,2,4.6,5.356
6,15,4.5,5.5
92,6,4.5,5.547
17,7,4.4,5.635
36,7,4.3,5.698
29,13,4.3,5.7
44,14,3.4,6.621
37,9,5.5,4.618
81,13,5.1,5
2,1,5.1,5
18,15,5.1,5.014
11,10,5,5.1
6,12,5,5.1
83,2,5,5.101
81,15,5,5.122
75,10,5,5.131
101,13,4.8,5.277
42,9,4.8,5.299
1,9,4.8,5.3
58,1,4.8,5.302
90,1,4.8,5.311
68,8,4.8,5.333
39,7,4.6,5.496
41,10,4.6,5.533
39,1,3.9,6.211
57,16,5.4,4.676
3,9,5.2,4.877
66,8,5.2,4.893
43,16,4.9,5.183
57,14,4.9,5.203
59,3,4.7,5.38
6,14,4.7,5.4
21,13,4.7,5.4
47,2,4.4,5.727
57,9,4.2,5.857
44,3,4.2,5.878
53,11,6.2,4
1,14,6.1,4.1
26,16,5.9,4.285
93,12,5.6,4.606
33,3,5.5,4.7
41,15,5.5,4.732
66,12,5.5,4.743
66,5,5.4,4.804
41,12,5.3,4.918
71,10,5.2,5
47,9,5.1,5.136
18,16,5,5.155
15,9,5,5.223
38,8,4.9,5.295
80,9,4.9,5.3
46,13,4.9,5.301
93,13,4.8,5.355
3,5,4.8,5.397
8,7,4.8,5.4
23,10,4.8,5.4
15,13,4.7,5.453
6,10,4.7,5.5
75,4,4.7,5.526
15,10,4.5,5.72
50,5,4.4,5.78
83,15,4.3,5.893
4,15,4.2,5.958
90,4,4.1,6.075
49,13,6.5,3.769
70,5,5.9,4.392
80,6,5.8,4.5
40,7,5.7,4.597
47,3,5.6,4.699
66,14,5.4,4.932
8,8,5.3,5
10,10,5.3,5
90,11,5.3,5.02
21,9,5.2,5.1
38,14,5.2,5.101
19,11,5.1,5.154
63,6,5.1,5.227
23,14,5,5.3
26,9,4.9,5.353
40,12,4.9,5.359
92,14,4.9,5.392
43,3,4.9,5.4
3,1,4.8,5.472
2,7,4.8,5.5
98,5,4.8,5.541
6,5,4.7,5.6
6,8,4.7,5.6
37,2,4.5,5.757
64,14,4.4,5.91
69,10,4.4,5.928
43,4,4.3,6.034
36,2,4,6.277
66,7,5.8,4.631
41,2,5.6,4.757
80,16,5.3,5.1
87,9,4.6,5.824
10,1,3.8,6.6
4,16,3.8,6.637
48,14,6.2,4.2
49,12,5.9,4.474
81,16,5.5,4.881
45,3,5.4,4.985
69,6,5.4,5.006
72,3,5.4,5.03
75,5,5.2,5.225
41,5,5,5.371
62,16,5,5.385
67,10,5,5.39
18,13,5,5.424
40,15,5,5.449
8,13,4.9,5.5
23,12,4.9,5.5
18,9,4.7,5.672
35,5,6.2,4.29
68,14,5.6,4.925
81,8,5.5,4.99
50,3,5.5,5.032
66,2,5.4,5.093
93,6,5.4,5.116
50,2,5.3,5.195
71,15,5.3,5.2
88,2,5.3,5.2
71,3,5.2,5.3
8,4,5.1,5.4
3,12,5.1,5.41
75,3,5.1,5.44
74,11,4.9,5.563
8,10,4.9,5.6
102,6,4.8,5.7
43,2,4.5,6.022
28,11,4.4,6.054
83,13,4.4,6.063
36,9,4,6.473
36,11,4,6.54
61,16,6,4.628
47,11,6,4.632
67,2,6,4.636
50,9,5.6,4.991
23,5,5.6,5
48,8,5.6,5
77,3,5.3,5.304
46,9,5.3,5.343
7,14,5,5.606
59,2,5,5.617
50,6,4.6,6.007
50,12,4.5,6.083
5,7,5.9,4.7
26,13,5.9,4.701
81,14,5.4,5.22
63,11,5.2,5.36
66,4,5.2,5.431
40,2,4.9,5.652
60,10,4.9,5.662
18,11,4.9,5.69
57,10,4.9,5.7
98,3,4.7,5.903
53,2,4.2,6.4
58,8,6.1,4.562
8,12,5.6,5.1
59,7,5.5,5.223
23,9,5.3,5.4
101,16,5.2,5.468
75,2,5.2,5.496
98,10,5.2,5.5
26,14,5.1,5.553
71,7,5.1,5.6
57,15,5,5.694
8,11,5,5.7
97,3,5,5.736
57,6,5,5.741
56,7,5,5.741
50,7,4.9,5.812
81,1,4.8,5.939
96,12,4.7,5.975
44,8,4.4,6.252
44,2,4.3,6.365
48,15,4.3,6.4
15,11,4.2,6.472
35,4,6.5,4.268
36,6,6.4,4.418
92,1,5.9,4.909
5,13,5.6,5.2
41,6,5.6,5.201
41,13,5.6,5.249
35,1,5.5,5.278
72,6,5.5,5.324
59,12,5.4,5.376
92,12,5.4,5.445
101,15,5.3,5.472
3,11,5.3,5.517
13,8,5.2,5.6
23,8,5.2,5.6
8,14,5.1,5.7
18,10,5.1,5.746
63,13,5,5.761
42,11,4.9,5.867
68,1,4.9,5.911
71,9,4.8,6
62,10,4.8,6.004
56,8,4.8,6.048
38,3,4.7,6.148
15,4,4.4,6.386
18,8,4.3,6.493
80,14,5.8,5.1
47,4,5.8,5.12
50,8,4.8,6.064
57,11,4.8,6.123
17,1,7.5,3.444
21,14,6,4.9
98,9,5.5,5.375
101,12,5.4,5.483
4,8,5.4,5.486
75,13,5.2,5.664
47,16,5.2,5.675
8,6,5.2,5.7
6,9,5,5.9
46,15,4.7,6.187
15,14,4.7,6.198
57,3,4.2,6.683
46,12,7,3.993
41,1,6.3,4.707
4,13,6.1,4.891
75,1,5.9,5.116
62,15,5.6,5.402
70,12,5.6,5.444
40,16,5.5,5.522
43,7,5.2,5.752
43,5,5.2,5.779
101,14,5.2,5.806
7,15,5.2,5.813
63,5,5.1,5.916
10,12,5,6
40,10,5,6.044
41,9,4.7,6.346
98,13,4.6,6.4
36,1,6.5,4.571
102,7,6,5.1
21,3,5.8,5.3
85,13,5.8,5.331
28,5,4.6,6.501
15,8,4.3,6.758
4,14,4,7.119
98,7,6.2,4.887
93,9,5.4,5.712
47,15,5.4,5.732
39,6,5.2,5.905
30,2,5.2,5.929
41,16,4.9,6.163
93,10,6.2,4.994
41,3,6.1,5.085
66,3,5.9,5.339
8,3,5.8,5.4
7,2,5.6,5.563
47,12,5.6,5.572
66,11,5.6,5.577
21,7,5.5,5.7
40,9,5.5,5.731
43,6,5.4,5.8
25,15,5.4,5.8
43,1,5.2,5.97
68,13,5.2,5.974
40,13,5.1,6.065
19,12,5.1,6.131
68,3,5,6.157
20,5,5,6.16
21,12,5,6.2
15,6,5,6.238
49,14,4.9,6.282
5,6,4.9,6.3
53,10,4.8,6.4
68,12,4.8,6.411
23,6,4.6,6.6
54,2,4.3,6.94
9,16,7.5,3.761
4,3,6.6,4.662
36,4,6.4,4.9
75,14,6,5.304
70,10,5.9,5.44
75,12,5.8,5.492
3,2,5.8,5.505
43,8,5.7,5.61
7,5,5.6,5.652
63,3,5.6,5.655
36,14,5.4,5.858
93,7,5.4,5.901
91,9,5.2,6.1
56,6,5.2,6.139
21,10,5,6.3
44,6,5,6.317
47,10,5,6.324
68,16,4.9,6.375
44,9,4.9,6.437
42,15,5.6,5.755
8,5,5.1,6.3
15,15,4.8,6.619
58,4,6.5,4.883
81,10,6.2,5.23
19,10,5.7,5.705
40,3,5.4,6.026
57,5,5.4,6.042
21,5,5.2,6.2
23,7,5.2,6.2
26,1,5,6.414
70,9,4.9,6.518
13,10,4.4,7
35,14,7,4.479
81,12,6.5,5.025
41,8,5.8,5.665
41,14,5.7,5.761
43,9,5.6,5.882
21,1,5.6,5.9
63,16,5.4,6.065
35,8,5.4,6.141
44,5,5.3,6.168
28,7,4.9,6.625
99,7,4.6,6.9
29,14,4.4,7.1
26,5,6.6,4.954
63,2,6,5.574
60,12,6,5.623
33,7,5.3,6.3
53,12,4.8,6.8
48,9,4.8,6.8
8,15,4.6,7
101,7,7.4,4.208
91,3,6.4,5.2
20,12,6.2,5.374
63,4,6.2,5.375
55,2,6.2,5.398
75,16,5.9,5.658
98,8,5.4,6.232
81,7,5.2,6.357
46,7,6.9,4.848
28,15,6.5,5.159
82,4,6.1,5.6
91,5,6,5.7
70,11,5.6,6.098
19,14,5.4,6.272
49,15,5.3,6.382
70,15,5.2,6.479
15,7,5.2,6.492
25,14,5.2,6.5
25,4,5.1,6.6
60,9,5,6.693
29,2,4.3,7.4
5,14,6.5,5.3
98,15,6.4,5.353
5,15,6.3,5.5
66,9,6.2,5.587
25,16,6,5.8
6,3,5.9,5.9
53,9,5.9,5.9
20,15,5.8,6.008
81,11,5.8,6.016
68,4,5.7,6.054
21,4,5.7,6.1
97,5,5.6,6.2
7,9,5.5,6.293
40,14,5.5,6.293
38,7,5.5,6.297
35,12,5.4,6.37
28,6,5.1,6.695
35,2,5.1,6.766
7,8,5.1,6.793
34,1,4.8,7.059
13,6,4.3,7.6
28,3,7,4.893
9,4,6,5.85
31,1,6,5.878
35,11,5.9,6.032
24,6,5.5,6.351
33,2,5.5,6.4
60,11,5.5,6.432
70,14,5.4,6.499
25,5,5.4,6.5
24,5,5.2,6.696
80,1,8,4
9,6,7.6,4.424
8,2,7.3,4.7
60,7,6.8,5.192
27,13,6.6,5.4
28,8,6.3,5.654
50,15,6,5.973
7,6,6,6.031
31,13,6,6.033
68,15,5.9,6.065
21,2,5.9,6.1
92,3,5.7,6.333
31,10,5.6,6.365
7,1,5.6,6.426
58,16,5.5,6.481
63,9,5.4,6.592
63,7,5.4,6.612
7,12,5.1,6.853
9,8,4.5,7.454
66,10,7,5.128
55,3,6.5,5.631
4,2,6.5,5.646
61,3,6.1,5.99
31,11,6,6.087
21,6,6,6.1
71,16,6,6.1
58,2,5.8,6.267
18,12,5.6,6.468
24,14,5.5,6.562
19,16,5.7,6.41
55,15,6.7,5.467
40,4,6.7,5.476
55,16,6.4,5.848
57,2,6,6.177
7,13,6,6.194
39,16,6,6.242
21,11,5.8,6.4
23,11,5.8,6.4
4,5,5.6,6.649
19,9,5.4,6.753
71,1,4.9,7.3
53,6,4.5,7.7
70,8,7.2,5.142
7,3,6.5,5.837
31,14,6.2,6.142
31,12,6.2,6.148
19,3,5.8,6.529
47,5,5.6,6.675
19,8,5.5,6.765
35,9,5.5,6.798
19,4,5.4,6.886
9,2,5.3,6.989
24,7,5.2,7.077
6,11,5.1,7.2
93,11,6.8,5.565
60,6,6.6,5.77
7,7,6.1,6.275
19,15,6.1,6.333
29,3,3.7,8.7
60,1,6.2,6.249
4,10,6,6.409
7,16,5.9,6.486
31,9,5.7,6.718
47,6,5.5,6.912
20,1,5.4,7.044
46,6,4.9,7.485
25,6,4.7,7.7
101,10,7.3,5.167
39,3,6.2,6.285
24,10,6.2,6.306
4,1,6,6.462
25,10,5.8,6.7
60,14,5.6,6.892
70,1,5,7.48
2,6,4,8.5
44,7,6.5,6.07
53,13,6.5,6.1
24,11,6.3,6.268
7,4,5.8,6.8
70,2,5,7.636
44,4,6.4,6.192
55,13,6.2,6.417
24,1,5.7,6.897
47,14,5.7,6.945
20,13,5.2,7.4
27,14,7.5,5.2
35,16,7.3,5.411
19,13,6.4,6.295
60,13,6.4,6.339
57,7,6.3,6.417
7,10,6.3,6.431
60,5,6.2,6.519
19,2,6.2,6.524
19,1,5.9,6.761
19,6,5.8,6.861
26,3,5.6,7.114
24,2,5.6,7.121
31,3,5.6,7.123
35,3,5.4,7.268
28,14,5.4,7.34
42,10,5.3,7.404
99,12,4.8,7.9
101,9,7.3,5.492
27,7,7.3,5.5
31,15,6.5,6.279
60,2,6.5,6.331
24,16,6.1,6.685
53,15,6,6.8
33,8,5.9,6.9
53,1,5.4,7.4
46,14,5.4,7.426
20,10,5.2,7.595
34,12,4.7,8.083
13,7,4.5,8.3
55,1,7.1,5.798
35,13,6.6,6.277
8,16,6.6,6.3
38,5,6.3,6.575
7,11,6.7,6.208
31,4,6.7,6.245
63,8,6.5,6.426
70,7,6.5,6.43
24,4,6.2,6.655
22,16,6,6.883
13,3,5.5,7.4
25,9,5.4,7.5
33,9,7.3,5.7
45,1,6.6,6.402
60,16,6.5,6.474
55,11,6.5,6.539
53,14,6.4,6.6
24,13,6.2,6.766
55,6,6.2,6.772
22,14,5.7,7.328
16,8,4.6,8.4
28,10,7.1,6.028
28,16,7.4,5.66
17,13,6.4,6.684
46,1,5.9,7.193
29,12,4.2,8.9
27,15,7.1,6.1
40,5,7.1,6.138
40,11,6.9,6.339
49,16,6.6,6.569
33,5,6.4,6.8
55,9,6.1,7.083
35,10,6,7.175
6,2,4.4,8.8
24,8,7.3,6.022
47,13,7.2,6.091
31,2,7.1,6.171
22,2,6.7,6.631
24,15,6.6,6.718
60,15,6.4,6.902
17,12,6.2,7.055
20,8,6.8,6.571
57,13,6.8,6.642
19,5,6.1,7.286
10,9,4.8,8.6
40,6,7,6.353
17,3,6.5,6.9
25,11,5.7,7.7
70,6,7.6,5.855
46,5,7.4,6.137
53,7,6.6,6.9
31,16,6.5,7.033
55,10,6.2,7.256
17,10,6.1,7.355
4,11,6.1,7.375
53,16,6.1,7.4
22,1,7.3,6.319
57,8,6.8,6.757
4,6,6.6,7.048
19,7,6.7,6.935
65,16,6.2,7.387
24,12,6.2,7.433
35,15,7.4,6.302
31,8,6.6,7.113
25,3,6.5,7.2
53,3,6.5,7.2
24,3,6.5,7.249
17,16,6.4,7.342
33,11,5.9,7.8
27,12,7.7,6.1
60,3,6.8,7.04
4,9,6.6,7.193
65,8,7.1,6.755
55,14,6.6,7.267
4,12,6.3,7.572
22,15,6.3,7.624
13,2,5.7,8.2
60,8,7.4,6.484
31,5,7.4,6.533
46,4,7.4,6.548
12,12,7.2,6.7
22,11,7.2,6.7
65,5,6.9,7.041
10,13,6.2,7.7
55,7,7.4,6.589
12,9,7.3,6.7
20,3,6.9,7.104
9,5,6.8,7.233
25,7,6.4,7.6
25,8,6.4,7.6
27,10,6.2,7.8
33,12,6.1,7.9
25,2,5.7,8.3
5,1,5.7,8.3
20,16,7,7.061
9,9,7,7.092
55,12,6.8,7.317
34,2,6.6,7.467
9,14,7.6,6.593
22,3,7.4,6.78
55,8,7.2,6.952
65,6,7.2,7.009
13,1,6.9,7.3
20,6,6.9,7.349
5,8,6.8,7.4
53,4,6.8,7.4
65,10,6.7,7.524
5,9,6.5,7.7
10,8,5.6,8.6
20,4,7.2,7.081
22,10,7.2,7.148
34,15,6.2,8.072
33,14,6.2,8.1
33,13,6.2,8.2
65,1,7.2,7.245
55,4,7.7,6.832
17,14,7.3,7.22
65,12,7.3,7.232
8,1,6.2,8.3
20,14,5.8,8.671
9,12,7.5,7.114
34,11,7.3,7.309
46,10,7,7.582
22,6,6.4,8.175
9,7,7.7,6.943
44,15,7.2,7.366
65,3,7.6,7.066
22,5,7.6,7.145
25,1,7.2,7.5
4,7,7,7.71
65,11,7,7.71
34,16,6.6,8.194
9,3,7.5,7.33
34,3,7.2,7.561
10,6,7.2,7.6
46,11,7.1,7.702
65,9,7.1,7.723
65,15,7,7.763
9,10,7.6,7.259
22,9,7.5,7.363
24,9,7.4,7.514
33,16,7.2,7.7
33,6,6.9,8
33,10,6.1,8.8
65,4,7.5,7.51
34,4,7.4,7.569
65,7,7.2,7.807
34,13,7,8.018
34,14,6.9,8.074
55,5,8,7.085
9,13,7.5,7.595
20,2,7.4,7.708
20,7,7.2,7.855
12,13,7.5,7.7
65,2,7.4,7.83
31,7,7.4,7.835
9,15,7.2,7.952
33,15,7.1,8.1
34,6,7,8.211
12,16,7.1,8.2
70,16,8,7.302
9,11,7.8,7.469
22,13,7.8,7.494
9,1,7.5,7.775
34,5,7.4,7.877
12,4,7.3,8
10,11,7.2,8.1
20,11,7,8.325
10,5,6.8,8.5
5,11,7.3,8.1
33,1,7.7,7.7
12,2,7.5,7.9
12,5,7.4,8
12,15,7.4,8
12,11,7,8.4
5,10,7,8.4
22,8,8.1,7.391
22,7,7.9,7.562
20,9,7.5,7.988
12,3,7.3,8.2
12,10,7.2,8.3
27,8,7,8.6
12,7,7.5,8.2
12,6,7.5,8.2
5,2,7.2,8.5
5,12,7.4,8.3
65,13,7.7,8.078
31,6,7.7,8.086
12,1,7.5,8.3
12,8,7.5,8.3
65,14,7.8,8.087
46,3,7.7,8.184
10,7,7.3,8.6
34,8,7.6,8.332
34,7,7.5,8.37
34,9,7.7,8.333
34,10,7.6,8.428
27,1,7.5,8.5
27,16,7.4,8.6
29,7,7.2,8.8
10,2,7.2,8.8
22,4,7.9,8.249
10,4,7.5,8.6
12,14,7.8,8.4
27,3,7.8,8.4
22,12,7.6,8.64
10,14,7.4,8.8
29,16,7.4,8.8
103,8,7.6,8.7
27,6,7.8,8.5
103,3,7.8,8.5
103,12,7.8,8.5
27,9,7.8,8.5
103,10,7.7,8.6
103,15,7.5,8.8
27,11,7.5,8.8
103,6,7.9,8.5
103,14,7.8,8.6
103,11,7.8,8.6
10,3,7.6,8.8
103,4,7.9,8.6
103,16,7.8,8.7
103,9,7.8,8.7
10,15,7.8,8.7
27,2,7.8,8.7
27,4,7.9,8.7
103,5,7.9,8.7
10,16,7.8,8.8
27,5,7.8,8.8
103,1,8,8.7
103,2,8,8.7
103,13,7.9,8.8
103,7,7.9,8.8
99,13,3.3,
95,10,3.9,
29,1,3.9,
91,15,3.9,
15,1,4,
17,15,4,
3,14,4.1,
77,1,4.1,
73,6,4.2,
48,7,4.2,
98,12,4.3,
63,14,4.4,
59,1,4.4,
99,14,4.5,
99,10,4.6,
79,2,4.6,
82,7,4.8,
46,8,4.8,
74,16,4.9,
59,8,4.9,
38,9,5,
98,14,5,
90,2,5,
79,3,5,
83,16,5.2,
48,10,5.2,
66,13,5.4,
98,11,5.4,
46,16,5.8,
46,2,6.6,
