BRC names,BRC number,Type,Sym
Dipsacus sativus,920646.2,h,
Dipsacus strigosus,9202635,h,
Doronicum pardalianches,920648,h,
Doronicum plantagineum,920649,h,
Doronicum spp.,9204872,h,
Draba aizoides,920650,h,
Draba incana,920651,h,
Draba muralis,920652,h,
Draba norvegica,920653,h,
Draba sp.,9204873,h,n
Drosera intermedia,920655,h,
Drosera longifolia,920654,h,
Drosera longifolia x rotundifolia (D. x obovata),920656,h,
Drosera rotundifolia,920657,h,
Drosera sp.,9204875,h,
Dryas octopetala,920658,h,
Dryopteris aemula,910660,f,n
Dryopteris affinis,910662,f,n
Dryopteris affinis x filix-mas (D. x complexa),9102588,f,
Dryopteris carthusiana,910666,f,n
Dryopteris carthusiana x dilatata (D. x deweveri),9102584,f,
Dryopteris cristata,910663,f,n
Dryopteris dilatata,910661,f,n
Dryopteris dilatata/carthusiana,200001583,h,
Dryopteris expansa,9102274,f,
Dryopteris filix-mas,910665,f,n
Dryopteris oreades,910659,f,n
Dryopteris remota,9102499,f,
Dryopteris sp.,9104634,f,
Dryopteris submontana,910667,f,n
Ecballium elaterium,9205428,h,
Echinochloa crusgalli,920668,h,
Echium plantagineum,920669,h,
Echium vulgare,920670,h,
Egeria densa,9202551,h,
Elatine hexandra,920671,h,
Elatine hydropiper,920672,h,
Elatine sp.,200001616,h,
Eleocharis acicularis,920673,h,
Eleocharis austriaca,9202267,h,
Eleocharis multicaulis,920674,h,
Eleocharis palustris,920675,h,
Eleocharis parvula,920676,h,
Eleocharis quinqueflora,920677,h,
Eleocharis spp.,9204529,h,
Eleocharis uniglumis,920678,h,
Eleogiton fluitans,920679,h,
Elodea callitrichoides,920680,h,
Elodea canadensis,920681,h,
Elodea nuttallii,920997,h,
Elodea sp.,9204619,h,
Elymus caninus,9207006,h,
Elymus sp.,9204884,h,
Elytrigia atherica,92032,h,
Elytrigia atherica x juncea (E. x obtusiuscula),92029,h,
Elytrigia atherica x repens (E. x oliveri),9202908,h,
Elytrigia juncea,92028,h,
Elytrigia repens,92033,h,
Empetrum nigrum,920684,h,
Empetrum nigrum subsp.hermaphroditum,920683,h,
Empetrum nigrum subsp.nigrum,920685,h,
Epilobium alsinifolium,920690,h,
Epilobium anagallidifolium,920691,h,
Epilobium brunnescens,920699,h,
Epilobium ciliatum,920688,h,
Epilobium ciliatum x tetragonum,9202783,h,
Epilobium hirsutum,920692,h,
Epilobium lanceolatum,920694,h,
Epilobium montanum,920695,h,
Epilobium obscurum,920696,h,
Epilobium palustre,920697,h,
Epilobium parviflorum,920698,h,
Epilobium roseum,920700,h,
Epilobium sp.,9204530,h,
Epilobium tetragon/obscurum,200001439,h,
Epilobium tetragonum,9207292,h,
Epilobium tetragonum tetragonum,920689,h,
Epimedium alpinum,920701,h,
Epipactis atrorubens,920702,h,
Epipactis dunensis,920704,h,
Epipactis helleborine,920705,h,
Epipactis leptochila,9205476,h,
Epipactis palustris,920708,h,
Epipactis phyllanthes,920709,h,
Epipactis purpurata,920710,h,
Epipactis youngiana,9202549,h,
Epipogium aphyllum,920711,h,
Equisetum arvense,910712,f,n
Equisetum arvense x fluviatile (E. x litorale),910715,f,n
Equisetum arvense x palustre (E. x rothmaleri),9102592,f,
Equisetum arvense/palustre,200001491,h,
Equisetum fluviatile,910713,f,n
Equisetum hyemale,910714,f,n
Equisetum hyemale x ramosissimum (E. x moorei),910716,f,n
Equisetum hyemale x variegatum (E. x trachyodon),910722,f,n
Equisetum palustre,910717,f,n
Equisetum pratense,910718,f,n
Equisetum ramosissimum,910719,f,n
Equisetum sp.,9104635,f,
Equisetum sylvaticum,910720,f,n
Equisetum telmateia,910721,f,n
Equisetum variegatum,910723,f,n
Eranthis hyemalis,920724,h,
Erica ciliaris,920725,s,er
Erica cinerea,920726,s,er
Erica erigena,920729,s,er
Erica lusitanica,920727,s,er
Erica mackaiana,920728,s,er
Erica tetralix,920731,s,er
Erica vagans,920732,s,er
Erigeron acer,920733,h,
Erigeron borealis,920734,h,
Erigeron karvinskianus,920736,h,
Erinus alpinus,920738,h,
Eriocaulon aquaticum,920739,h,
Eriophorum angustifolium,920740,h,
Eriophorum gracile,920742,h,
Eriophorum latifolium,920743,h,
Eriophorum sp.,9204896,h,
Eriophorum vaginatum,920744,h,
Erodium cicutarium agg.,920745,h,
Erodium lebelii,920747,h,
Erodium maritimum,920748,h,
Erodium moschatum,920749,h,
Erodium sp.,200001617,h,
Erophila glabrescens,9204343,h,
Erophila majuscula,9204344,h,
Erophila verna praecox,920751,h,
Erophila verna sens.lat.,920753,h,
Erophila verna spathulata,920752,h,
Eruca vesicaria,920755,h,n
Erucastrum gallicum,920756,h,
Erucastrum nasturtiifolium,9204484,h,
Eryngium campestre,920757,h,
Eryngium maritimum,920758,h,
Erysimum cheiranthoides,920759,h,
Erysimum cheiri,920479,h,n
Escallonia macrantha,920760,h,
Eschscholzia californica,920761,h,
Eucalyptus sp.,200001618,h,
Euonymus europaeus,920762,t,am
Eupatorium cannabinum,920763,h,
Euphorbia agg.,20000158,h,
Euphorbia amygdaloides,920764,h,
Euphorbia corallioides,920766,h,
Euphorbia cyparissias,920767,h,
Euphorbia dulcis,920768,h,
Euphorbia esula,920770,h,
Euphorbia exigua,920771,h,
Euphorbia helioscopia,920772,h,
Euphorbia hyberna,920773,h,
Euphorbia lathyris,920774,h,
Euphorbia paralias,920775,h,
Euphorbia peplis,920776,h,
Euphorbia peplus,920777,h,
Euphorbia platyphyllos,920779,h,
Euphorbia portlandica,920780,h,
Euphorbia serrulata,920781,h,
Euphorbia villosa,920778,h,
Euphrasia anglica,920783,h,
Euphrasia arctica,9207310,h,
Euphrasia arctica subsp.borealis,920785,h,
Euphrasia cambrica,920786,h,
Euphrasia campbelliae,920787,h,
Euphrasia confusa,920788,h,
Euphrasia foulaensis,920791,h,
Euphrasia frigida,920792,h,
Euphrasia heslop-harrisonii,920793,h,
Euphrasia marshallii,920795,h,
Euphrasia micrantha,920796,h,
Euphrasia nemorosa,920798,h,
Euphrasia officinalis agg.,9202243,h,
Euphrasia ostenfeldii,920789,h,
Euphrasia pseudokerneri,920801,h,
Euphrasia rhumica,920802,h,
Euphrasia rivularis,920803,h,
Euphrasia rostkoviana,9207351,h,
Euphrasia rostkoviana subsp.montana,920797,h,
Euphrasia rotundifolia,920805,h,
Euphrasia salisburgensis,920806,h,
Euphrasia scottica,920807,h,
Euphrasia stricta,9205429,h,
Euphrasia tetraquetra,920799,h,
Euphrasia vigursii,920800,h,
Exaculum pusillum,920808,h,
Fagopyrum esculentum,920809,h,
Fagus sylvatica,920810,t,em
Falcaria vulgaris,920811,h,
Fallopia baldschuanica,9201524,h,
Fallopia convolvulus,9201527,h,
Fallopia dumetorum,9201529,h,
Fallopia japonica,9201528,h,
Fallopia sachalinensis,9201541,h,
Festuca altissima,920812,h,
Festuca arenaria,920819,h,
Festuca armoricana,9207359,h,
Festuca arundinacea,920813,h,
Festuca filiformis,920822.2,h,
Festuca gigantea,920816,h,
Festuca heterophylla,920818,h,
Festuca huonii,9207361,h,
Festuca lemanii,9205430,h,
Festuca longifolia,920817,h,
Festuca ovina agg.,920821,h,
Festuca ovina/rubra (vegetative),9204916,h,
Festuca pratensis,920823,h,
Festuca pratensis x Lolium multiflorum (x Festulolium braunii),9204469,h,
Festuca pratensis x Lolium perenne (x Festulolium loliaceum),920815,h,
Festuca rubra agg.,920824,h,
Festuca rubra subsp.commutata,920825.2,h,
Festuca sp.,200001182,h,
Festuca vivipara,920826,h,
Filago gallica,920829,h,
Filago lutescens,920827,h,
Filago minima,920831,h,
Filago pyramidata,920832,h,
Filago sp.,9204918,h,
Filago vulgaris,920830,h,
Filipendula sp.,9204919,h,
Filipendula ulmaria,920833,h,
Filipendula vulgaris,920834,h,
Foeniculum vulgare,920835,h,
Fragaria moschata,920837,h,
Fragaria sp.,200001619,h,
Fragaria sp.,200001679,h,
Fragaria vesca,920838,h,
Fragaria x ananassa,920836,h,
Frangula alnus,920839,h,
Frankenia laevis,920840,s,
Fraxinus excelsior (c),920841,t,am
Fritillaria meleagris,920842,h,
Fuchsia magellanica,920844,s,
Fumaria bastardii,920845,h,
Fumaria capreolata,920847,h,
Fumaria densiflora,920849,h,
Fumaria muralis,920850,h,
Fumaria occidentalis,920853,h,
Fumaria officinalis,920854,h,
Fumaria parviflora,920856,h,
Fumaria purpurea,920857,h,
Fumaria reuteri,920848,h,
Fumaria sp.,9204532,h,
Fumaria vaillantii,920858,h,
Gagea bohemica,9202290,h,
Gagea lutea,920859,h,
Galanthus nivalis,920860,h,
Galega officinalis,920861,h,
Galeopsis angustifolia,920863,h,
Galeopsis bifida,920864,h,
Galeopsis segetum,920865,h,
Galeopsis sp.,9204931,h,
Galeopsis speciosa,920867,h,
Galeopsis tetrahit agg.,920868,h,
Galinsoga parviflora,920871,h,
Galinsoga quadriradiata,920870,h,
Galium aparine,920873,h,
Galium boreale,920874,h,
Galium constrictum,920876,h,
Galium fleurotii,9202650,h,
Galium mollugo,920879,h,
Galium mollugo subsp.erectum,920877,h,
Galium mollugo x verum (G. x pomeranicum),920881,h,
Galium odoratum,920183,h,
Galium palustre,920882,h,
Galium palustre subsp.elongatum,920882.1,h,
Galium parisiense,920872,h,
Galium pumilum,920883.1,h,
Galium saxatile,920878,h,
Galium sp.,9204533,h,
Galium spurium,920885,h,
Galium sterneri,920883.2,h,
Galium tricornutum,920886,h,
Galium uliginosum,920887,h,
Galium verum,920888,h,
Gaps (filled),200001620,h,
Gastridium ventricosum,920889,h,
Gaudinia fragilis,9202508,h,
Gaultheria mucronata,9202244,h,
Gaultheria shallon,920890,h,
Genista anglica,920891,h,
Genista pilosa,920892,h,
Genista sp.,200001621,h,
Genista tinctoria,920893,h,
Gentiana nivalis,920894,h,
Gentiana pneumonanthe,920895,h,
Gentiana verna,920896,h,
Gentianella amarella,920897,h,
Gentianella amarella subsp.septentrionalis,920904,h,
Gentianella amarella/anglica,200001592,h,
Gentianella anglica,920899,h,
Gentianella campestris,920901,h,
Gentianella ciliata,9202629,h,
Gentianella germanica,920903,h,
Gentianella sp.,9204534,h,
Gentianella uliginosa,920905,h,
Geranium columbinum,920906,h,
Geranium dissectum,920907,h,
Geranium endressii,920908,h,
Geranium lucidum,920909,h,
Geranium macrorrhizum,920910,h,
Geranium molle,920911,h,
Geranium nodosum,920912,h,
Geranium phaeum,920913,h,
Geranium pratense,920914,h,
Geranium purpureum,920915,h,
Geranium pusillum,920916,h,
Geranium pyrenaicum,920917,h,
Geranium robertianum,920918,h,
Geranium rotundifolium,920919,h,
Geranium sanguineum,920920,h,
Geranium sp.,9204535,h,
Geranium sylvaticum,920921,h,
Geranium versicolor,920922,h,
Geum macrophyllum,9205431,h,
Geum rivale,920924,h,
Geum rivale x urbanum (G. x intermedium),920923,h,
Geum sp.,200001622,h,
Geum sp.,200001680,h,
Geum urbanum,920925,h,
Gladiolus communis,9205470,h,
Gladiolus illyricus,920926,h,
Glaucium corniculatum,920928,h,
Glaucium flavum,920929,h,
Glaux maritima,920930,h,
Glechoma hederacea,920931,h,
Glyceria declinata,920932,h,
Glyceria fluitans,920933,h,
Glyceria fluitans x notata (G. x pedicellata),920935,h,
Glyceria maxima,920934,h,
Glyceria notata,920936,h,
Glyceria seedling/sp,9204943,h,
Gnaphalium luteoalbum,920937,h,
Gnaphalium norvegicum,920938,h,
Gnaphalium sp.,9204944,h,
Gnaphalium supinum,920939,h,
Gnaphalium sylvaticum,920940,h,
Gnaphalium uliginosum,920941,h,
Goodyera repens,920943,h,
Grass sp.,26,h,
Groenlandia densa,920944,h,
Gunnera tinctoria,920945,h,
Gymnadenia conopsea,920948,h,
Gymnocarpium dryopteris,9102050,h,
Gymnocarpium robertianum,9102054,h,
Gymnocarpium sp.,200001681,h,
Hammarbya paludosa,920951,h,
Hebe salicifolia,9204321,h,
Hebe speciosa,9204451,h,
Hedera helix,920952,s,am
Helianthemum apenninum,920953,h,
Helianthemum apenninum x nummularium (H. x sulphureum),9202690,h,
Helianthemum canum,920954,h,
Helianthemum nummularium,920955,h,
Helianthus annuus,920957,h,
Helianthus tuberosus,920960,h,
Helictotrichon pratense,920961,h,
Helictotrichon pubescens,920962,h,
Helleborus foetidus,920963,h,
Helleborus sp.,200004000,h,
Helleborus viridis,920964,h,
Heracleum mantegazzianum,920966,h,
Heracleum sp.,200001624,h,
Heracleum sphondylium,920968,h,
Herminium monorchis,920969,h,
Hermodactylus tuberosus,920970,h,
Herniaria ciliolata,920971,h,
Herniaria glabra,920973,h,
Herniaria hirsuta,920974,h,
Hesperis matronalis,920975,h,n
Hieracium acuminatum (arg),9203205,h,
Hieracium alpinum (alp),9203003,h,
Hieracium anglicum (ala),9203007,h,
Hieracium argenteum (sax),9203012,h,
Hieracium caesiomurorum (cae),9203034,h,
Hieracium caledonicum,9203036,h,
Hieracium calenduliflorum (nig),9203037,h,
Hieracium callistophyllum (roh),9203039,h,
Hieracium carpathicum (car),9203050,h,
Hieracium cillense (ste),9203051,h,
Hieracium dewarii (car),9203066,h,
Hieracium diaphanoides (dia),9203067,h,
Hieracium diaphanum (dia),9203068,h,
Hieracium grandidens (mur),9203092,h,
Hieracium hanburyi (nig),9203097.1,h,
Hieracium holosericeum,9203104,h,
Hieracium hypochoeroides (hyp),9203106,h,
Hieracium 'indeterminate',9202560,h,
Hieracium integratum (mur),9203272,h,
Hieracium iricum (ala),9203108,h,
Hieracium lasiophyllum (sch),9203115,h,
Hieracium latobrigorum (inu),9203116,h,
Hieracium lepidulum (vul),9203117,h,
Hieracium lissolepium (lae),9203124,h,
Hieracium maculatum (mac),9203127,h,
Hieracium oblongum (mur),9203278,h,
Hieracium oistophyllum (fus),9203138,h,
Hieracium orcadense (cae),9203078,h,
Hieracium pellucidum (mur),9203145,h,
Hieracium pilosella group,9205157,h,
Hieracium pollichiae (mac),9203180,h,
Hieracium prenanthoides (pre),9203157,h,
Hieracium proximum (ang),9203159,h,
Hieracium reticulatum (inu),9203175,h,
Hieracium sanguineum (bif),9203183,h,
Hieracium schmidtii (sch),9203187,h,
Hieracium scoticum,9203188,h,
Hieracium scotostictum (gla),9203189,h,
Hieracium senescens,9203192,h,
Hieracium sommerfeltii (som),9203196,h,
Hieracium sparsifolium (lae),9203197,h,
Hieracium speluncorum (amp),9203198,h,
Hieracium submurorum (atr),9203215,h,
Hieracium subramosum (cae),9203219,h,
Hieracium subrude (ono),9203220,h,
Hieracium subumbellatiforme (cro),9203161,h,
Hieracium umbellatum,9203023,h,
Hieracium vagum (sab),9203235,h,
Hieracium vinicaule (tru),9203238,h,
Hieracium virgultorum (sab),9203239,h,
Hieracium vulgatum (vul),9203240,h,
Hieracium zetlandicum (epi),9203241,h,
Hierochloe odorata,920977,h,
Himantoglossum hircinum,920978,h,
Hippocrepis comosa,920979,h,
Hippophae rhamnoides,920980,h,
Hippuris vulgaris,920981,h,
Hirschfeldia incana,920982,h,
Holcus lanatus,920983,h,
Holcus mollis,920984,h,
Holcus sp.,200001625,h,
Holosteum umbellatum,920986,h,
Homogyne alpina,920987,h,
Honckenya peploides,920988,h,
Hordelymus europaeus,920989,h,
Hordeum distichon sens.lat.,9204368,h,
Hordeum marinum,920991,h,
Hordeum murinum,920992,h,
Hordeum secalinum,920993,h,
Hordeum sp.,200001626,h,
Hordeum vulgare sens.str.,9208282,h,
Hornungia petraea,920994,h,
Hottonia palustris,920995,h,
Humulus lupulus,920996,h,
Huperzia selago,9101217,h,
Hyacinthoides hispanica,920686,h,
Hyacinthoides non-scripta,920687,h,
Hydrangea spp.,200001690,h,
Hydrilla verticillata,9202291,h,
Hydrocharis morsus-ranae,920998,h,
Hydrocotyle sp.,200001627,h,
Hydrocotyle vulgaris,920999,h,
Hymenophyllum sp.,200001599,h,
Hymenophyllum tunbrigense,9101000,h,
Hymenophyllum wilsonii,9101001,h,
Hyoscyamus niger,9201002,h,
Hypericum androsaemum,9201003,h,
Hypericum androsaemum x hircinum (H. x inodorum),9201007,h,
Hypericum calycinum,9201004,h,
Hypericum elodes,9201008,h,
Hypericum hircinum,9201009,h,
Hypericum hirsutum,9201010,h,
Hypericum humifusum,9201011,h,
Hypericum linariifolium,9201012,h,
Hypericum maculatum,9201006,h,
Hypericum montanum,9201013,h,
Hypericum perforatum,9201014,h,
Hypericum pulchrum,9201015,h,
Hypericum pulchrum/perforatum,200001579,h,
Hypericum sp.,9204536,h,
Hypericum tetrapterum,9201016,h,
Hypericum undulatum,9201017,h,
Hypochaeris glabra,9201018,h,
Hypochaeris maculata,9201019,h,
Hypochaeris radicata,9201020,h,
Hypochoeris spp.,200001584,h,
Hypochoeris spp./Leontodon spp.,20000223,h,
Iberis amara,9201022,h,
Iberis sp.,200001628,h,n
Iberis umbellata,9202425,h,
Ilex aquifolium,9201023,t,am
Illecebrum verticillatum,9201024,h,
Impatiens capensis,9201025,h,
Impatiens glandulifera,9201026,h,
Impatiens noli-tangere,9201027,h,
Impatiens parviflora,9201028,h,
Impatiens sp.,200001629,h,
Inula conyzae,9201030,h,
Inula crithmoides,9201031,h,
Inula helenium,9201033,h,
Inula salicina,9201034,h,
Iris foetidissima,9201036,h,
Iris germanica,9201037,h,
Iris pseudacorus,9201038,h,
Iris sp.,200001630,h,
Iris spuria,9201039,h,
Iris versicolor,9201040,h,
Isatis tinctoria,9201041,h,n
Isoetes echinospora,9101043,h,
Isoetes histrix,9101044,h,
Isoetes lacustris,9101045,h,
Isolepis cernua,9201046,h,
Isolepis setacea,9201047,h,
Ixia paniculata,9205432,h,
Jasione montana,9201048,h,
Juglans regia,9201049,t,am
Juncus acutiflorus,9201050,h,
Juncus acutus,9201052,h,
Juncus alpinoarticulatus,9201053,h,
Juncus alpinus nodulosus,9201074,h,
Juncus ambiguus,9201057.1,h,
Juncus articulatus,9201054,h,
Juncus articulatus/acutiflora,20000228,h,
Juncus balticus,9201055,h,
Juncus biglumis,9201056,h,
Juncus bufonius sens.lat.,9201057,h,
Juncus bufonius sens.str.,9201057.2,h,
Juncus bufonius/bulbosus,200001478,h,
Juncus bulbosus,9201058,h,
Juncus bulbosus fluitans,9201058.1,h,
Juncus capitatus,9201060,h,
Juncus castaneus,9201061,h,
Juncus compressus,9201062,h,
Juncus conglomeratus,9201063,h,
Juncus effusus,9201067,h,
Juncus effusus x inflexus (J. x diffusus),9201065,h,
Juncus filiformis,9201068,h,
Juncus foliosus,9201057.3,h,
Juncus gerardii,9201069,h,
Juncus hybrids,20000663,h,
Juncus inflexus,9201070,h,
Juncus maritimus,9201072,h,
Juncus pygmaeus,9201073,h,
Juncus sp.,9204586,h,
Juncus squarrosus,9201075,h,
Juncus subnodulosus,9201076,h,
Juncus subulatus,9202271,h,
Juncus tenuis,9201077,h,
Juncus trifidus,9201078,h,
Juncus triglumis,9201079,h,
Juniperus communis,9201080,t,am
Juniperus communis subsp.alpina,9201080.2,t,m
Juniperus communis subsp.communis,9201080.1,t,am
Kalmia angustifolia,9202257,h,
Kalmia polifolia,9201081,s,er
Kerria japonica,9204378,h,
Kickxia elatine,9201082,h,
Kickxia sp.,200001631,h,
Kickxia spuria,9201083,h,
Knautia arvensis,9201084,h,
Kobresia simpliciuscula,9201085,h,
Koeleria macrantha,9201087,h,
Koeleria sp,200001224,h,
Koeleria vallesiana,9201088,h,
Koenigia islandica,9201089,h,
Laburnum anagyroides,9201091,t,am
Lactuca saligna,9201092,h,
Lactuca serriola,9201094,h,
Lactuca sp.,200001632,h,
Lactuca virosa,9201095,h,
Lagarosiphon major,9201096,h,
Lagurus ovatus,9201097,h,
Lamiastrum galeobdolon,920862,h,
Lamium album,9201098,h,
Lamium amplexicaule,9201099,h,
Lamium confertum,9201102,h,
Lamium hybridum,9201100,h,
Lamium maculatum,9201101,h,
Lamium purpureum,9201103,h,
Lamium sp.,9205009,h,
Lamium/glechoma seedling,28,h,
Lapsana communis,9201104,h,
Larix decidua (c),9201105,t,em
Larix kaempferi,9202302,t,am
Larix sp.,9204442,t,em
Larix x eurolepis (c),9202303,t,am
Lathraea clandestina,9201106,h,
Lathraea squamaria,9201107,h,
Lathyrus aphaca,9201108,h,
Lathyrus hirsutus,9201109,h,
Lathyrus japonicus,9201110,h,
Lathyrus latifolius,9201111,h,
Lathyrus linifolius,9201112,h,
Lathyrus niger,9201113,h,
Lathyrus nissolia,9201114,h,
Lathyrus palustris,9201115,h,
Lathyrus pratensis,9201116,h,
Lathyrus seedling/sp,9204537,h,
Lathyrus sylvestris,9201117,h,
Lathyrus tuberosus,9201118,h,
Laurus nobilis,9202427,t,am
Lavatera arborea,9201119,s,
Lavatera cretica,9201120,h,
Ledum palustre groenlandicum,9201121,h,
Ledum palustre palustre,9201122,h,
Leersia oryzoides,9201123,h,
Legousia hybrida,9201124,h,
Lemna gibba,9201125,h,
Lemna minor,9201126,h,
Lemna minuta,9202300,h,
Lemna sp.,9204538,h,
Lemna trisulca,9201128,h,
Leontodon autumnalis,9201129,h,
Leontodon hispidus,9201130,h,
Leontodon hispidus/saxatilis,200001481,h,
Leontodon saxatilis,9201131,h,
Leontodon sp.,9204539,h,
Leonurus cardiaca,9201132,h,
Lepidium bonariense,9204488,h,
Lepidium campestre,9201133,h,
Lepidium divaricatum,9204489,h,
Lepidium draba,920333,h,
Lepidium graminifolium,9202987,h,
Lepidium heterophyllum,9201139,h,
Lepidium latifolium,9201135,h,
Lepidium perfoliatum,9202570,h,n
Lepidium ruderale,9201137,h,
Lepidium sativum,9201138,h,
Lepidium virginicum,9202571,h,n
Leucanthemum vulgare,920502,h,
Leucojum aestivum,9201140,h,
Leucojum vernum,9201141,h,
Leycesteria formosa,9201142,h,
Leymus arenarius,920682,h,
Ligularia dentata,9205433,h,
Ligusticum scoticum,9201143,h,
Ligustrum ovalifolium,9202250,h,
Ligustrum sp.,9205026,h,
Ligustrum vulgare,9201144,h,
Lilium martagon,9201145,h,
Lilium pyrenaicum,9201146,h,
Lilium regale,200001633,h,
Lilium speciosum,20000962,h,
Limonium auriculae-ursifolium,9201150,h,
Limonium bellidifolium,9201147,h,
Limonium binervosum agg.,9201148,h,
Limonium binervosum sens.str.,9202532,h,
Limonium britannicum,9202533,h,
Limonium dodartiforme,9202534,h,
Limonium humile,9201149,h,
Limonium loganicum,9202535,h,
Limonium normannicum,9202562,h,
Limonium paradoxum,9201151,h,
Limonium parvum,9202536,h,
Limonium procerum,9202537,h,
Limonium recurvum,9201152,h,
Limonium sp.,200001634,h,
Limonium transwallianum,9201153,h,
Limonium vulgare,9201154,h,
Limosella aquatica,9201155,h,
Limosella australis,9201157,h,
Linaria arenaria,9201158,h,
Linaria pelisseriana,9201159,h,
Linaria purpurea,9201160,h,
Linaria repens,9201161,h,
Linaria sp.,9205031,h,
Linaria supina,9201163,h,
Linaria vulgaris,9201164,h,
Linnaea borealis,9201165,h,
Linum bienne,9201168,h,
Linum catharticum,9201169,h,
Linum perenne,9201167,h,
Linum sp.,9205033,h,
Linum usitatissimum,9201170,h,
Liparis loeselii,9201171,h,
Listera cordata,9201172,h,
Listera ovata,9201173,h,
Listera sp.,200001635,h,
Lithospermum arvense,920278,h,
Lithospermum officinale,9201174,h,
Lithospermum purpureocaeruleum,920279,h,
Littorella uniflora,9201175,h,
Lloydia serotina,9201176,h,
Lobelia dortmanna,9201177,h,
Lobelia urens,9201178,h,
Lobularia maritima,9201179,h,
Logfia arvensis,920828,h,
Loiseleuria procumbens,9201180,h,
Lolium multiflorum,9201182,h,
Lolium multiflorum x perenne (L. x boucheanum),9201181,h,
Lolium perenne,9201183,h,
Lolium sp.,9205042,h,
Lolium temulentum,9201185,h,
Lonicera caprifolium,9201186,s,am
Lonicera japonica,9201187,s,am
Lonicera nitida,9202613,h,
Lonicera periclymenum,9201188,s,am
