BRC names,BRC number,Type,Sym
Rubus spectabilis,9201731,s,am
Rubus sprengelii (sil),9203653,s,am
Rubus sulcatus (sub),9203662,s,am
Rubus ulmifolius (dis),9201732,s,am
Rubus vestitus,9203679,s,am
Rubus winteri (dis),9203688,s,am
Rudbeckia laciniata,9201733,h,
Rumex acetosa,9201734,h,
Rumex acetosella,9201735,h,
Rumex aquaticus,9201739,h,
Rumex confertus,9202573,h,
Rumex conglomeratus,9201741,h,
Rumex conglomeratus/sanguineus,20000377,h,
Rumex crispus,9201742,h,
Rumex crispus x obtusifolius (R. x pratensis),9202464,h,
Rumex cristatus,9201743,h,
Rumex frutescens,9201744,h,
Rumex hydrolapathum,9201745,h,
Rumex longifolius,9201746,h,
Rumex maritimus,9201747,h,
Rumex obtusifolius,9201748,h,
Rumex obtusifolius x sanguineus (R. x dufftii),9202455,h,
Rumex palustris,9201749,h,
Rumex pseudoalpinus,9201737,h,
Rumex pulcher,9201751,h,
Rumex rupestris,9201752,h,
Rumex salicifolius,9201757,h,
Rumex sanguineus,9201753,h,
Rumex scutatus,9201754,h,
Rumex seedling/sp,9204557,,
Rumex tenuifolius,9201756,h,
Ruppia cirrhosa,9201759,h,
Ruppia maritima,9201758,h,
Ruscus aculeatus,9201760,s,am
Sagina apetala,9202559,h,
Sagina apetala subsp.apetala,9201762,h,
Sagina apetala subsp.erecta,9201761,h,
Sagina maritima,9201765,h,
Sagina nivalis,9201764,h,
Sagina nodosa,9201766,h,
Sagina procumbens,9201767,h,
Sagina procumbens x saginoides (S. x normaniana),9202923,h,
Sagina saginoides,9201768,h,
Sagina sp.,9205207,h,
Sagina subulata,9201769,h,
Sagittaria rigida,9201770,h,
Sagittaria sagittifolia,9201771,h,
Salicornia agg.,9202242,h,
Salicornia dolichostachya,9201774,h,
Salicornia europaea agg.,9204326,h,
Salicornia fragilis,9201776,h,
Salicornia nitens,9201778,h,
Salicornia obscura,9201779,h,
Salicornia pusilla,9201780,h,
Salicornia ramosissima,9201781,h,
Salicornia ramosissima/europaea,20000382,h,
Salix alba,9201784,t,em
Salix alba x babylonica (S. x sepulcralis),9202350,t,am
Salix arbuscula,9201785,t,em
Salix atrocinerea,9201786,t,em
Salix aurita,9201787,t,em
Salix caprea,9201788,t,em
Salix caprea subsp.sphacelata,9201788.2,t,em
Salix caprea x cinerea (S. x reichardtii),9202342,t,am
Salix caprea x phylicifolia,9202366,t,am
Salix caprea x viminalis (S. x sericans),9202351,t,am
Salix cinerea,9201789,t,em
Salix cinerea x viminalis (S. x smithiana),9202354,t,am
Salix fragilis,9201793,t,em
Salix herbacea,9201794,t,em
Salix lanata,9201795,t,em
Salix lapponum,9201796,t,em
Salix lapponum x reticulata (S. x boydii),9202308,t,am
Salix myrsinifolia,9201797,t,em
Salix myrsinites,9201798,t,em
Salix pentandra,9201799,t,em
Salix phylicifolia,9201800,t,em
Salix purpurea,9201801,t,em
Salix repens agg.,9201802,t,em
Salix reticulata,9201803,t,em
Salix seedling/sp,9204558,t,am
Salix triandra,9201804,t,em
Salix viminalis,9201805,t,em
Salix viminalis x purpurea (s),9202344,t,am
Salix x forbyana (S. cinerea x purpurea x viminalis),9202318,t,am
Salsola kali,9205441,h,
Salvia nemorosa,9201811,h,
Salvia pratensis,9201810,h,
Salvia verbenaca,9201812,h,
Salvia verticillata,9201813,h,
Sambucus ebulus,9201814,s,am
Sambucus nigra,9201815,t,am
Sambucus racemosa,9201816,t,am
Sambucus sp.,9205211,s,am
Samolus valerandi,9201817,h,
Sanguisorba minor,9205442,h,
Sanguisorba minor subsp.muricata,9201598,h,
Sanguisorba officinalis,9201818,h,
Sanguisorba sp.,200001660,h,
Sanicula europaea,9201819,h,
Saponaria officinalis,9201821,h,
Sarcocornia perennis,9201777,h,
Sasa palmata,9204308,h,
Sasaella ramosa,9204310,h,
Saussurea alpina,9201825,h,
Saxifraga aizoides,9201826,h,
Saxifraga cernua,9201827,h,
Saxifraga cespitosa,9201828,h,
Saxifraga granulata,9201830,h,
Saxifraga hirculus,9201832,h,
Saxifraga hirsuta,9201833,h,
Saxifraga hypnoides,9201835,h,
Saxifraga nivalis,9201836,h,
Saxifraga oppositifolia,9201837,h,
Saxifraga rivularis,9201838,h,
Saxifraga rosacea,9205482,h,
Saxifraga sp.,9205222,h,
Saxifraga spathularis,9201840,h,
Saxifraga spathularis x umbrosa (S. x urbium),9201841,h,
Saxifraga stellaris,9201842,h,
Saxifraga tridactylites,9201843,h,
Saxifraga umbrosa,9201844,h,
Scabiosa atropurpurea,9201845,h,
Scabiosa columbaria,9201846,h,
Scabiosa sp.,200001661,h,
Scandix pecten-veneris,9201847,h,
Scheuchzeria palustris,9201848,h,
Schistidium sp.,200001662,h,
Schoenoplectus lacustris,9201851,h,
Schoenoplectus pungens,9201849,h,
Schoenoplectus tabernaemontani,9201852,h,
Schoenoplectus triqueter,9201853,h,
Schoenus ferrugineus,9201854,h,
Schoenus nigricans,9201855,h,
Scilla autumnalis,9201856,h,
Scilla verna,9201857,h,
Scirpoides holoschoenus,920985,h,
Scirpus sp.,9204559,h,
Scirpus sylvaticus,9201861,h,
Scleranthus annuus,9201862,h,
Scleranthus perennis,9201863,h,
Scorzonera humilis,9201864,h,
Scrophularia auriculata,9201865,h,
Scrophularia nodosa,9201867,h,
Scrophularia scorodonia,9201868,h,
Scrophularia sp.,9205231,h,
Scrophularia umbrosa,9201869,h,
Scrophularia vernalis,9201870,h,
Scutellaria altissima,9201871,h,
Scutellaria galericulata,9201872,h,
Scutellaria minor,9201874,h,
Scutellaria sp.,9205232,h,
Secale cereale,9204369,h,
Securigera varia,920550,h,
Sedum acre,9201875,h,
Sedum album,9201876,h,
Sedum anglicum,9201877,h,
Sedum anglicum/acre,20000399,h,
Sedum dasyphyllum,9201878,h,
Sedum forsterianum,9201879,h,
Sedum rosea,9201882,h,
Sedum rupestre,9201881,h,
Sedum sexangulare,9201883,h,
Sedum sp.,9205234,h,
Sedum spurium,9201884,h,
Sedum telephium,9201885,h,
Sedum villosum,9201886,h,
Selaginella kraussiana,9101887,h,
Selaginella selaginoides,9101888,h,
Selinum carvifolia,9201889,h,
Semiarundinaria fastuosa,9204311,h,
Sempervivum tectorum,9201890,h,
Senecio aquaticus,9201891,h,
Senecio aquaticus x jacobaea (S. x ostenfeldii),9202612,h,
Senecio cambrensis,9202294,h,
Senecio cineraria,9201892,h,
Senecio doria,9201894,h,
Senecio erucifolius,9201896,h,
Senecio fluviatilis,9201897,h,
Senecio jacobaea,9201899,h,
Senecio jacobaea/ecrucifolius,200001586,h,
Senecio paludosus,9201900,h,
Senecio smithii,9204436,h,
Senecio sp.,9204588,h,
Senecio squalidus,9201902,h,
Senecio squalidus x viscosus (S. x subnebrodensis),9202625,h,
Senecio sylvaticus,9201903,h,
Senecio viscosus,9201904,h,
Senecio vulgaris,9201905,h,
Sequoia sempervirens,9202417,t,am
Sequoiadendron giganteum,9202410,t,am
Seriphidium maritimum,920172,h,
Serratula tinctoria,9201906,h,
Seseli libanotis,9201907,h,
Sesleria caerulea,9201908,h,
Setaria viridis,9201911,h,
Sherardia arvensis,9201912,h,
Sibbaldia procumbens,9201913,h,
Sibthorpia europaea,9201914,h,
Sigesbeckia serrata,9205443,h,
Silaum silaus,9201916,h,
Silene acaulis,9201917,h,
Silene armeria,9201920,h,
Silene conica,9201921,h,
Silene dioica,9201259,h,
Silene dioica x latifolia (S. x hampeana),9201260,h,
Silene gallica,9201918,h,
Silene italica,9201925,h,
Silene latifolia,9201258,h,
Silene noctiflora,9201261,h,
Silene nutans,9201928,h,
Silene otites,9201929,h,
Silene sp.,9205248,h,
Silene uniflora,9201926,h,
Silene vulgaris,9204578,h,
Silybum marianum,9201930,h,
Simethis planifolia,9201931,h,
Sinapis alba,9201932,h,n
Sinapis arvensis,9201933,h,n
Sinapis arvensis/alba,20000407,h,
Sinapis sp.,9205251,h,
Sinarundinaria anceps,9205419,t,am
Sison amomum,9201934,h,
Sisymbrium altissimum,9201935,h,
Sisymbrium austriacum,9204493,h,
Sisymbrium irio,9201936,h,
Sisymbrium loeselii,9201937,h,
Sisymbrium officinale,9201938,h,
Sisymbrium orientale,9201939,h,
Sisymbrium sp.,200001663,h,n
Sisymbrium strictissimum,9201941,h,
Sisymbrium volgense,9202644,h,
Sisyrinchium bermudiana,9201942,h,
Sisyrinchium montanum,9202651,h,
Sium latifolium,9201944,h,
Smyrnium olusatrum,9201945,h,
Smyrnium perfoliatum,9204383,h,
Solanum dulcamara,9201947,h,
Solanum dulcamara/nigra,20000409,h,
Solanum nigrum,9201949,h,
Solanum sarachoides,9201946,h,
Solanum sp.,200001664,h,
Solanum triflorum,9201950,h,
Solanum tuberosum,9204360,h,
Solanum villosum,9201948,h,
Soleirolia soleirolii,920965,h,
Solidago canadensis,9202251,h,
Solidago gigantea,9202434,h,
Solidago graminifolia,9204340,h,
Solidago virgaurea,9201951,h,
Sonchus arvensis,9201952,h,
Sonchus asper,9201953,h,
Sonchus oleraceus,9201954,h,
Sonchus palustris,9201955,h,
Sonchus sp.,9204560,h,
Sorbus anglica,9201956,t,am
Sorbus aria,9201958,t,am
Sorbus arranensis,9201959,t,am
Sorbus aucuparia,9201960,t,am
Sorbus austriaca group,9205445,t,am
Sorbus bristoliensis,9201961,t,am
Sorbus devoniensis,9201962,t,am
Sorbus domestica,9201963,t,am
Sorbus eminens,9201964,t,am
Sorbus hibernica,9201965,t,am
Sorbus hybrida group,9205446,t,am
Sorbus intermedia agg.,9205483,t,am
Sorbus intermedia sens.str.,9201966,t,am
Sorbus lancastriensis,9201967,t,am
Sorbus latifolia group,9205447,t,am
Sorbus leptophylla,9201969,t,am
Sorbus leyana,9201970,t,am
Sorbus minima,9201971,t,am
Sorbus minima group,9205448,t,am
Sorbus porrigentiformis,9201972,t,am
Sorbus pseudofennica,9201973,t,am
Sorbus rupicola,9201974,t,am
Sorbus rupicola group,9205449,t,am
Sorbus sp.,9204561,t,am
Sorbus subcuneata,9201976,t,am
Sorbus torminalis,9201977,t,am
Sorbus vexans,9201979,t,am
Sorbus wilmottiana,9202272,h,
Sorghum sp.,200001665,h,
Spaeropharus sp.,20000245,h,
Sparganium angustifolium,9201980,h,
Sparganium emersum,9201983,h,
Sparganium erectum,9201981,h,
Sparganium natans,9201982,h,
Sparganium sp.,9205259,h,
Spartina alterniflora,9201984,h,
Spartina alterniflora x maritima (S. x townsendii),9201986,h,
Spartina anglica,9202278,h,
Spartina maritima,9201985,h,
Spartina spp.,9204385,h,
Spergula arvensis,9201987,h,
Spergula arvensis/Spergularia rupicola,20000418,h,
Spergula morisonii,9201988,h,
Spergula sp.,200001666,h,
Spergularia bocconei,9201989,h,
Spergularia marina,9201990,h,
Spergularia media,9201991,h,
Spergularia rubra,9201992,h,
Spergularia rupicola,9201993,h,
Spergularia sp.,9205262,h,
Sphagnum (green/fat),20000558,h,
Sphagnum (green/thin),20000559,h,
Sphagnum (red/fat),20000560,h,
Spiraea agg.,9201994,h,
Spiraea douglasii,9202658,h,
Spiranthes aestivalis,9201995,h,
Spiranthes romanzoffiana,9201996,h,
Spiranthes spiralis,9201997,h,
Spirodela polyrhiza,9201127,h,
Stachys alpina,9201998,h,
Stachys ambigua,20000944,h,
Stachys arvensis,9202001,h,
Stachys germanica,9202002,h,
Stachys officinalis,920237,h,
Stachys palustris,9202003,h,
Stachys palustris x sylvatica (S. x ambigua),9201999,h,
Stachys sp.,9205264,h,
Stachys sylvatica,9202005,h,
Staphylea pinnata,9202006,h,
Stellaria graminea,9202009,h,
Stellaria holostea,9202010,h,
Stellaria media,9202012,h,
Stellaria neglecta,9202013,h,
Stellaria nemorum,9202014,h,
Stellaria pallida,9202008,h,
Stellaria palustris,9202015,h,
Stellaria seedling/sp,9205266,h,
Stellaria uliginosa,9202007,h,
Stratiotes aloides,9202017,h,
Suaeda maritima,9202019,h,
Suaeda vera,9202018,h,
Subularia aquatica,9202020,h,
Succisa pratensis,9202021,h,
Symphoricarpos albus,9202022,h,
Symphoricarpus sp.,200001587,h,
Symphytum asperum,9202023,h,
Symphytum asperum x officinale (S. x uplandicum),9202025,h,
Symphytum officinale,9202024,h,
Symphytum orientale,9202026,h,
Symphytum sp.,9205273,h,
Symphytum tuberosum,9202028,h,
Symphytum uplandicum,200001036,h,
Syringa vulgaris,9202029,h,
Tamarix gallica,9202031,t,am
Tamarix spp.,9205275,t,am
Tamus communis,9202032,h,
Tanacetum parthenium,920503,h,
Tanacetum sp.,9205277,h,
Tanacetum vulgare,9202033,h,
Taraxacum adamii (spe),9203962,h,
Taraxacum aequilobum (tar),9203805,h,
Taraxacum agg.,9202034,h,
Taraxacum alatum (tar),9203807,h,
Taraxacum ancistrolobum (tar),9203808,h,
Taraxacum anglicum (pal),9203809,h,
Taraxacum aurosulum (tar),9203811,h,
Taraxacum austriacum (ery),9203812,h,
Taraxacum brachyglossum (ery),9203815,h,
Taraxacum bracteatum (tar),9203816,h,
Taraxacum canoviride (tar),9203820,h,
Taraxacum canulum (ery),9203821,h,
Taraxacum commixtum (ery),9203825,h,
Taraxacum cordatum (tar),9203828,h,
Taraxacum craspedotum (spe),9203829,h,
Taraxacum crispifolium (tar),9204019,h,
Taraxacum croceiflorum (tar),9203831,h,
Taraxacum cyanolepis (tar),9203833,h,
Taraxacum cymbifolium (spe),9203834,h,
Taraxacum dahlstedtii (tar),9203835,h,
Taraxacum degelii (ery),9203836,h,
Taraxacum dilatatum (tar),9203837,h,
Taraxacum disseminatum (ery),9203838,h,
Taraxacum dunense (ery),9203840,h,
Taraxacum duplidens (tar),9203841,h,
Taraxacum euryphyllum (spe),9203844,h,
Taraxacum expallidiforme (tar),9203846,h,
Taraxacum fasciatum (tar),9203848,h,
Taraxacum fulvicarpum (spe),9203850,h,
Taraxacum fulvum (ery),9203852,h,
Taraxacum glauciniforme (ery),9203853,h,
Taraxacum glaucinum (ery),9203854,h,
Taraxacum gotlandicum (ery),9203855,h,
Taraxacum haematicum (tar),9203856,h,
Taraxacum hamatiforme (tar),9203857,h,
Taraxacum hamatum (tar),9203858,h,
Taraxacum insigne (tar),9203865,h,
Taraxacum lacistophyllum (ery),9203868,h,
Taraxacum laeticolor (tar),9203975,h,
Taraxacum laetiforme (ery),9203869,h,
Taraxacum laetum (ery),9203871,h,
Taraxacum lainzii (spe),9203872,h,
Taraxacum landmarkii (spe),9203873,h,
Taraxacum linguatum (tar),9203875,h,
Taraxacum lingulatum (tar),9203876,h,
Taraxacum litorale (spe),9203877,h,
Taraxacum longisquameum (tar),9203878,h,
Taraxacum maculatum (tar),9203879,h,
Taraxacum maculigerum (spe),9203880,h,
Taraxacum marklundii (tar),9203881,h,
Taraxacum melanthoides (tar),9203985,h,
Taraxacum naevosiforme (spe),9203884,h,
Taraxacum naevosum (spe),9203885,h,
Taraxacum nordstedtii (spe),9203886,h,
Taraxacum obliquilobum (tar),9203887,h,
Taraxacum obliquum (obl),9203888,h,
Taraxacum oblongatum (tar),9203889,h,
Taraxacum oxoniense (ery),9203893,h,
Taraxacum pallescens (tar),9203894,h,
Taraxacum palustre (pal),9203895,h,
Taraxacum pannucium (tar),9203896,h,
Taraxacum piceatum (tar),9203998,h,
Taraxacum placidum (ery),9203899,h,
Taraxacum platyglossum (obl),9203900,h,
Taraxacum polyodon (tar),9203901,h,
Taraxacum praestans (spe),9203903,h,
Taraxacum privum (tar),9203904,h,
Taraxacum proximiforme (ery),9203906,h,
Taraxacum proximum (ery),9203907,h,
Taraxacum pseudolacistophyllum (ery),9203908,h,
Taraxacum pycnostictum (spe),9203911,h,
Taraxacum raunkiaeri (tar),9203842,h,
Taraxacum rubicundum (ery),9203915,h,
Taraxacum sect. erythrosperma,9205450,h,
Taraxacum sect. obliqua,9205451,h,
Taraxacum sect. spectabilia,9205453,h,
Taraxacum sect. vulgaria,9205454,h,
Taraxacum silesiacum (ery),9203917,h,
Taraxacum spilophyllum (tar),9203920,h,
Taraxacum stictophyllum (spe),9203922,h,
Taraxacum subcyanolepis (tar),9203923,h,
Taraxacum sublaciniosum (tar),9203924,h,
Taraxacum sublaeticolor (tar),9203925,h,
Taraxacum subundulatum (tar),9203927,h,
Taraxacum tenebricans (tar),9203930,h,
Taraxacum tortilobum (ery),9204027,h,
Taraxacum unguilobum (spe),9203931,h,
Taraxacum xanthostigma (tar),9203933,h,
Taxus baccata,9202039,t,am
Teesdalia nudicaulis,9202041,h,
Telekia speciosa,9204401,h,
Tephroseris integrifolia,9205397,h,
Tephroseris integrifolia subsp.integrifolia,9201898,h,
Tephroseris palustris,9201893,h,
Tetragonolobus maritimus,9202042,h,
Teucrium botrys,9202043,h,
Teucrium chamaedrys,9202044,h,
Teucrium scordium,9202045,h,
Teucrium scorodonia,9202046,h,
Thalictrum alpinum,9202047,h,
Thalictrum flavum,9202048,h,
Thalictrum minus,9202049,h,
Thalitrichum sp.,9205285,h,
Thelypteris palustris,9102052,h,
Thesium humifusum,9202055,h,
Thlaspi arvense,9202058,h,n
Thlaspi caerulescens,9202057,h,n
Thlaspi perfoliatum,9202059,h,n
Thlaspi sp.,200001667,h,
Thuja plicata,9202403,t,am
Thuja spp.,9205288,t,am
Thymus polytrichus,9202060,h,
Thymus praecox/serpyllum,200001588,h,
Thymus pulegioides,9202061,h,
Thymus serpyllum,9202062,h,
Tilia cordata,9202063,t,em
Tilia platyphyllos,9202064,t,em
Tilia sp.,9205289,t,em
Tilia x vulgaris,9202065,t,em
Tofieldia pusilla,9202066,h,
Tolmiea menziesii,9202436,h,
Tordylium maximum,9202067,h,
Torilis arvensis,9202068,h,
Torilis japonica,9202069,h,
Torilis nodosa,9202070,h,
Torilis sp.,200001668,h,
Trachystemon orientalis,9202071,h,
Tragopogon porrifolius,9202073,h,
Tragopogon pratensis,9202074,h,
Tragopogon sp.,200001677,h,
Trichomanes speciosum,9102075,h,
Trichophorum alpinum,9201859,h,
Trichophorum cespitosum,9201858,h,
Trientalis europaea,9202076,h,
Trifolium arvense,9202077,h,
Trifolium aureum,9202078,h,
Trifolium bocconei,9202079,h,
Trifolium campestre,9202080,h,
Trifolium dubium,9202081,h,
Trifolium fragiferum,9202083,h,
Trifolium glomeratum,9202084,h,
Trifolium hybridum,9205459,h,
Trifolium incarnatum,9207649,h,
Trifolium incarnatum subsp.incarnatum,9202086,h,
Trifolium incarnatum subsp.molinerii,9202089,h,
Trifolium medium,9202087,h,
Trifolium micranthum,9202088,h,
Trifolium occidentale,9202268,h,
Trifolium ochroleucon,9202090,h,
Trifolium ornithopodioides,9202103,h,
Trifolium pratense,9202091,h,
Trifolium pratense/medium,200001503,h,
Trifolium repens,9202092,h,
Trifolium resupinatum,9202093,h,
Trifolium scabrum,9202094,h,
Trifolium seedling/sp,9205298,h,
Trifolium squamosum,9202095,h,
Trifolium stellatum,9202096,h,
Trifolium striatum,9202097,h,
Trifolium strictum,9202098,h,
Trifolium subterraneum,9202099,h,
Trifolium suffocatum,9202100,h,
Triglochin maritimum,9202101,h,
Triglochin palustre,9202102,h,
Triglochin sp.,200001669,h,
Trinia glauca,9202104,h,
Tripleurospermum inodorum,9201241.1,h,
Tripleurospermum maritimum sens.lat.,9201241,h,
Tripleurospermum maritimum/inodorum,200001597,h,
Trisetum flavescens,9202105,h,
Tristagma uniflorum,9204393,h,
Triticum aestivum,9204367,h,
Triticum sp.,9205303,h,
Trollius europaeus,9202106,h,
Tsuga heterophylla,9202404,t,em
Tuberaria guttata,920956,h,
Tulipa sp.,9205309,h,
Tulipa sylvestris,9202107,h,
Turgenia latifolia,920437,h,
Tussilago farfara,9202109,h,
Typha angustifolia,9202110,h,
Typha latifolia,9202111,h,
Ulex europaeus,9202112,s,am
Ulex gallii,9202113,s,am
Ulex minor,9202114,s,am
Ulex minor/gallii,200001415,s,am
Ulex sp.,200001670,s,am
Ulex sp./seedling,9205313,s,am
Ulmus glabra,9202119,t,am
Ulmus minor (c),9202115,t,am
Ulmus plotii,9202121,t,am
Ulmus procera,9202122,t,am
Ulmus sp.,9204314,t,am
Umbilicus rupestris,9202125,h,
Urtica dioica,9202126,h,
Urtica pilulifera,9202127,h,
Urtica urens,9202128,h,
Utricularia australis,9202131,h,
Utricularia intermedia sens.lat.,9202129,h,
Utricularia minor,9202130,h,
Utricularia ochroleuca,9204334,h,
Utricularia sp.,9205316,h,
Utricularia stygia,9204335,h,
Utricularia vulgaris sens.lat.,9202132,h,
Vaccinium macrocarpon,9201417,s,er
Vaccinium microcarpum,9201418,s,er
Vaccinium myrtillus,9202136,s,er
Vaccinium myrtillus x vitis-idaea (V. x intermedium),9202135,s,er
Vaccinium oxycoccos,9201419,s,er
Vaccinium uliginosum,9202137,s,er
Vaccinium vitis-idaea,9202138,s,er
Valeriana dioica,9202139,h,
Valeriana officinalis,9202140,h,
Valeriana pyrenaica,9202141,h,
Valeriana sp.,200001671,h,
Valerianella carinata,9202142,h,
Valerianella dentata,9202143,h,
Valerianella eriocarpa,9202144,h,
Valerianella locusta,9202145,h,
Valerianella rimosa,9202146,h,
Valerianella sp.,200001672,h,
Vallisneria spiralis,9202147,h,
Verbascum blattaria,9202148,h,
Verbascum lychnitis,9202149,h,
Verbascum nigrum,9202150,h,
Verbascum phlomoides,9202151,h,
Verbascum pulverulentum,9202153,h,
Verbascum sp.,9205322,h,
Verbascum thapsus,9202157,h,
Verbascum virgatum,9202158,h,
Verbena officinalis,9202159,h,
Veronica agrestis,9202161,h,
Veronica alpina,9202162,h,
Veronica anagallis-aquatica,9202163,h,
Veronica arvensis,9202165,h,
Veronica beccabunga,9202166,h,
Veronica catenata,9202167,h,
Veronica chamaedrys,9202168,h,
Veronica filiformis,9202169,h,
Veronica fruticans,9202170,h,
Veronica hederifolia,9202171,h,
Veronica montana,9202172,h,
Veronica officinalis,9202173,h,
Veronica peregrina,9202174,h,
Veronica persica,9202175,h,
Veronica polita,9202176,h,
Veronica praecox,9202177,h,
Veronica scutellata,9202179,h,
Veronica seedling/sp,9204563,h,
Veronica serpyllifolia,9202180,h,
Veronica serpyllifolia subsp.humifusa,9202180.1,h,
Veronica spicata,9202181,h,
Veronica triphyllos,9202182,h,
Veronica verna,9202183,h,
Viburnum lantana,9202184,h,
Viburnum opulus,9202185,h,
Viburnum tinus,9204370,h,
Vicia bithynica,9202187,h,
Vicia cracca,9202189,h,
Vicia hirsuta,9202191,h,
Vicia lathyroides,9202194,h,
Vicia lutea,9202195,h,
Vicia orobus,9202196,h,
Vicia parviflora,9202201,h,
Vicia sativa,9202516,h,
Vicia sativa subsp.nigra,9202186,h,
Vicia sativa subsp.sativa,9202197,h,
Vicia sativa subsp.segetalis,9202649,h,
Vicia seedling/sp,9204564,h,
Vicia sepium,9202198,h,
Vicia sylvatica,9202199,h,
Vicia tenuifolia,9202200,h,
Vicia tetrasperma,9202202,h,
Vicia tetrasperma/tenuissima,200001600,h,
Vicia villosa,9202203,h,
Vinca major,9202204,h,
Vinca minor,9202205,h,
Viola arvensis,9202206,h,
Viola canina,9202207,h,
Viola cornuta,9202437,h,
Viola hirta,9202210,h,
Viola kitaibeliana,9202213,h,
Viola lactea,9202211,h,
Viola lactea x riviniana,9202685,h,
Viola lutea,9202212,h,
Viola odorata,9202214,h,
Viola palustris,9202215,h,
Viola persicifolia,9202216,h,
Viola reichenbachiana,9202217,h,
Viola riviniana,9202218,h,
Viola riviniana x rupestris (V. x burnatii),9202682,h,
Viola riviniana/reichenbiana,200001595,h,
Viola rupestris,9202219,h,
Viola seedling/sp,9204565,h,
Viola tricolor,9202220,h,
Viola tricolor subsp.curtisii,9202220.1,h,
Viscum album,9202223,h,
Vulpia bromoides,9202226,h,
Vulpia ciliata,9205468,h,
Vulpia ciliata subsp.ambigua,9202225,h,
Vulpia fasciculata,9202227,h,
Vulpia myuros,9202228,h,
Vulpia sp.,9205328,h,
Vulpia unilateralis,9202263,h,
Wahlenbergia hederacea,9202230,h,
Wolffia arrhiza,9202231,h,
Woodsia alpina,9102232,h,
Woodsia ilvensis,9102233,h,
Woodsia sp.,200001673,h,
x Cupressocyparis leylandii,9202967,h,
Zannichellia palustris,9202237,h,
Zostera angustifolia,9202238,h,
Zostera marina,9202239,h,
Zostera noltii,9202240,h,
